,24小时自助银行,金融保险服务,自动提款机,上海浦东发展银行ATM,广东省,广州市,花都区,113.244808,23.40849
0,中国农业银行24小时自助银行(山河西路),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.252604,23.408504
1,中国银行24小时自助银行(迎宾大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.23411,23.402743
2,交通银行24小时自助银行(锦东花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.230179,23.405257
3,招商银行24小时自助银行(花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.234237,23.400438
4,广州农商银行24小时自助银行(旗岭支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.227381,23.469787
5,广州农商银行24小时自助银行(旗岭支行),金融保险服务,自动提款机,农村商业银行ATM,广东省,广州市,花都区,113.223008,23.465833
6,交通银行24小时自助银行(花都分行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.230841,23.397116
7,中国光大银行24小时自助银行(花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.233537,23.405107
8,中国邮政储蓄银行24小时自助银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.217199,23.406144
9,广发银行24小时自助银行(新华支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.234136,23.403217
10,广州农商银行24小时自助银行(均禾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.251257,23.254303
11,中国建设银行24小时自助银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.223822,23.271803
12,中国银行24小时自助银行(江高支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.233509,23.274697
13,广州农商银行24小时自助银行(龙湖分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.227321,23.253956
14,中国农业银行24小时自助银行(广州平沙支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.257168,23.245959
15,中国建设银行24小时自助银行(江高支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.23108,23.275477
16,中国工商银行附行式自助银行(广州环城支行江高步行街支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.232723,23.273104
17,广州农商银行24小时自助银行(平沙支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.256531,23.247019
18,中国建设银行24小时自助银行(S303华南快速辅路),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.276153,23.228452
19,中国银行24小时自助银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.232613,23.346154
20,广州花都稠州村镇银行24小时自助银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.231105,23.341336
21,中国农业银行24小时自助银行(镜湖大道自助银行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.249302,23.349117
22,广州农商银行24小时自助银行(东镜支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.230924,23.340693
23,中国建设银行24小时自助银行(镜湖大道南),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.250459,23.350276
