,黄冈中学广州学校实验小学,科教文化服务,学校,小学,广东省,广州市,花都区,113.236054,23.419135
0,长岗中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.220333,23.427843
1,圆玄中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.214795,23.409575
2,广州市花都区新华中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.219429,23.378817
3,芙蓉成人高级中学,科教文化服务,学校,成人教育,广东省,广州市,花都区,113.235267,23.48422
4,芙蓉中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.221419,23.466198
5,花山中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.277882,23.459034
6,广州市白云区大朗中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.243926,23.239258
7,广州市第六十五中学江高校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.222905,23.263374
8,培英中学平沙校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.263047,23.248368
9,江村中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.237887,23.276099
10,江高镇第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.220468,23.273527
11,黄冈中学广州学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.256762,23.366434
12,白云区珠江中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.260372,23.32542
13,广州市第六十六中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.20567,23.335881
14,广东实验中学(高中部),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.227835,23.073493
15,广州市第一中学初中部,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.234873,23.113999
16,广州市真光中学白鹤洞校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.245134,23.077277
17,广州市花地中学南校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.232985,23.097188
18,广州市第三中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,越秀区,113.258968,23.114932
19,广州市同德南方中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.238393,23.167297
20,信孚泽德中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.239541,23.176103
21,广州市第六十五中学同德校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.242406,23.17858
22,广州市第六十七中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.249618,23.178807
