,美佳乐百货超市,购物服务,便民商店/便利店,便民商店/便利店.1,广东省,广州市,花都区,113.239068,23.411943
0,鑫辉百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.23686,23.41224
1,欣欣商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.236342,23.411962
2,合兴批发商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.239069,23.415618
3,66商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.235503,23.412202
4,祺祺百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.240648,23.410439
5,祥佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.241182,23.410543
6,美佳乐百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.234835,23.412167
7,华盛自选百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.241,23.410508
8,三好百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.242382,23.411571
9,芙蓉兴盛,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.240358,23.409515
10,顺风士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.241642,23.491702
11,超记商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.237328,23.48836
12,伟盛百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.243653,23.494542
13,裕丰商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.245124,23.494482
14,富顺百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.245791,23.494416
15,波记百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.235338,23.486987
16,佰意百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.235143,23.485647
17,佳奇百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.245118,23.486508
18,兴顺百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.235591,23.484772
19,乐家超市(264县道),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.227968,23.475214
20,熙客隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.248779,23.494224
21,润城五金百货便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.241471,23.483839
22,惠清商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.239119,23.48322
23,顺兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.239018,23.483141
24,美佳超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.239617,23.483186
25,福源便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.227647,23.488125
26,兴嘉宝百货(716乡道店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.23548,23.485969
27,鑫芙蓉百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.250517,23.49475
28,腾龙百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.241348,23.251212
29,快乐惠(唐龙南路),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.241823,23.254284
30,天猫小店(轻新优品店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.238536,23.256783
31,美佳欢便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.241417,23.256011
32,收钱码店主黄正坤,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.236947,23.249095
33,百家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.236958,23.249061
34,家豪百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.236754,23.249059
35,合家欢超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.239248,23.334468
36,美佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.241614,23.335163
37,润发商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.227969,23.330197
38,兴发便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.238241,23.33426
39,大众超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.239844,23.334645
40,达康百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.239749,23.334791
41,智龙宇食品行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.240455,23.334764
42,乐家百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.225594,23.340336
43,陈记士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.231722,23.337513
44,佳宜连锁超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.235349,23.325623
45,美宜家,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.234863,23.341989
46,杭记士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.230682,23.337604
47,顺都平价超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.230964,23.337452
48,和家(百花路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,荔湾区,113.229611,23.094848
49,百世邻里(KK士多店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,荔湾区,113.238701,23.093264
50,七九便利超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,荔湾区,113.239127,23.093513
51,KK士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,荔湾区,113.238697,23.093256
52,福家连锁超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.242441,23.17209
53,好惠多生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.239622,23.173345
54,时尚鑫都连锁超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.239735,23.172538
55,美宜佳(新南路),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.239361,23.173053
56,潮兴商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.238259,23.174038
57,景旺平价百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.32075,23.011882
58,芙蓉兴盛超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.318985,23.01285
59,好街坊百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.318998,23.012174
60,美宜佳(洪昌店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.31726,23.012984
61,佳华百货超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.317193,23.011908
62,益群百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.319234,23.012373
63,福万家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.317572,23.012706
64,顺兴隆购物中心,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,海珠区,113.317833,23.094314
65,顺隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.316615,22.849338
66,福建批发,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.316808,22.84688
67,龚记杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.311657,22.850333
68,百越商场(湴湄农家店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.323063,22.861813
69,阿祥士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.32265,22.861793
70,万客隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.33883,22.844361
71,金德丰购物超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.317751,22.933362
72,美佳惠超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.317527,22.93311
73,良兴隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.317763,22.933376
74,盛兴百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.318601,22.935167
75,暖鲜日用百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.317422,22.935149
76,金河生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.318298,22.935233
77,新民平价超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.318349,22.93628
78,美廉平价超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.318366,22.935648
79,秀文便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.320234,22.935069
80,顺景百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.32128,22.931326
81,惠民百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.321459,22.931708
82,美宜佳(富城商场店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.318347,22.936211
83,芙蓉兴盛超市(多多便利店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.321555,22.933773
84,横江百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.321469,22.930576
85,爱群小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.357524,23.64587
86,兴通日用杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.320526,22.936339
87,美惠佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.322633,22.934812
88,吉祥粮油百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.320882,22.936431
89,友谊百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.32168,22.929532
90,德发超市(横江店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.32268,22.931448
91,利家士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.321815,22.929294
92,每天惠智慧便利店(横江河锋店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.322134,22.931128
93,典盛便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.321181,22.937529
94,千惠百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.331798,22.935365
95,佳琦百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.32331,22.93535
96,如意百货超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.346771,22.943187
97,中岛便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.316957,22.943834
98,稳兴超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.31713,23.486734
99,花城服务区便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.313205,23.502307
100,沙滩超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.329034,23.478008
101,布岗商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.301315,23.476607
102,陈翠兴士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.316607,23.475507
103,元岗士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.336518,23.483545
104,冬菇便民店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.314909,23.473732
105,明旺便民店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.314856,23.473628
106,顺兴百货(花都分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.314831,23.472804
107,五联小店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.315843,23.572608
