,马鞍山公园(地铁站),交通设施服务,地铁站,地铁站.1,广东省,广州市,花都区,113.237846,23.399699
0,花都广场(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,花都区,113.222628,23.401307
1,莲塘(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,花都区,113.245149,23.389101
2,花果山公园(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,花都区,113.218389,23.387119
3,滘心(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.216982,23.236888
4,亭岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.219962,23.222616
5,鹤南(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.271787,23.221347
6,清塘(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,花都区,113.262858,23.372206
7,芳村大道东(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.242023,23.093911
8,芳村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.235703,23.098592
9,花地湾(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.23403,23.087055
10,沙涌(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.246772,23.083128
11,白鹅潭(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.22811,23.102134
12,石围塘(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.227969,23.102338
13,坑口(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.232498,23.078878
14,同福西(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.252372,23.101689
15,黄沙(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.239856,23.110524
16,凤凰新村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.255994,23.094705
17,沙园(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.260584,23.088625
18,文化公园(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.248976,23.109186
19,鹤洞(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.240153,23.072495
20,长寿路(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.242271,23.118402
21,如意坊(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,荔湾区,113.231208,23.114978
22,上步(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.235759,23.170978
23,聚龙(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.238751,23.181252
24,同德(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.234705,23.163525
25,西洲(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.225172,23.172548
26,石潭(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.24101,23.187843
27,鹅掌坦(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.235849,23.156363
28,棠溪(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.249287,23.186983
29,槎头(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.222253,23.186178
30,乐嘉路(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.260508,23.168447
31,岗贝(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.259824,23.181143
32,三元里(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,越秀区,113.256851,23.159402
33,大石(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.321744,23.017761
34,汉溪长隆(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.33017,22.992931
35,厦滘(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.320837,23.038007
36,钟村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.31698,22.986437
37,南村万博(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.347555,23.004769
38,客村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.320331,23.096197
39,鹭江(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.308219,23.095331
40,岭南广场(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.324681,23.105576
41,广州塔(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.323618,23.106375
42,上涌公园(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.313327,23.078823
43,大塘(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.321677,23.077974
44,赤岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.334825,23.096432
45,逸景路(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.304165,23.081997
46,海心沙(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.324412,23.111545
47,二沙岛(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,越秀区,113.305233,23.109087
48,石榴岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.3385,23.078591
49,中大南门(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.296359,23.089016
50,磨碟沙(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.341285,23.098689
51,中大(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.292863,23.092124
52,五凤(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.295661,23.082014
