,赤色美妆培训中心,科教文化服务,科教文化场所,科教文化场所.1,广东省,广州市,花都区,113.233698,23.413721
0,艺术文化培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.23342,23.405206
1,小童星培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.229032,23.410729
2,广州法官培训中心,科教文化服务,培训机构,培训机构,广东省,广州市,花都区,113.231653,23.506165
3,广州市花都区书法家协会培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.22264,23.481962
4,三彩培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.228575,23.340926
5,三彩彩妆培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.227559,23.340798
6,铃智艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.241171,23.34619
7,瀚德培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.240689,23.092295
8,Crema咖啡培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.242254,23.095274
9,环广美术培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.236841,23.173662
10,广州少年宫棋类培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,越秀区,113.251715,23.133315
11,辰旭视觉摄影培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.3179,23.013514
12,广州市公安局民警培训中心(宇宙商业大厦南),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.322986,23.0121
13,英皇钢琴培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.318338,23.015129
14,广州翻糖蛋糕培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,海珠区,113.318586,23.095656
15,广州江山艺术培训学校(总校),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.34659,22.834335
16,叉车培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.343705,22.836495
17,番禺体育运动培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.324471,22.926292
18,广州锦辉机动车驾驶员培训有限公司(景观训练场),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.324345,22.935852
19,深圳派出所辅警招聘培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.323689,22.924144
20,广州市番禺区保安培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.327577,22.920064
