,苏宁易购(花都龙珠路店),购物服务,家电电子卖场,苏宁,广东省,广州市,花都区,113.231029,23.397747
0,瀛富国际建材家居采购中心(花都店),购物服务,家居建材市场,家具建材综合市场,广东省,广州市,花都区,113.244059,23.407904
1,大金空调,购物服务,家电电子卖场,家电电子卖场,广东省,广州市,花都区,113.238517,23.407624
2,宏陶陶瓷(三东大道东),购物服务,家居建材市场,建材五金市场,广东省,广州市,花都区,113.244373,23.408487
3,中国联通(花都营业厅),购物服务,家电电子卖场,手机销售,广东省,广州市,花都区,113.22767,23.402325
4,福建花都建成石材批发,购物服务,家居建材市场,建材五金市场,广东省,广州市,花都区,113.23829,23.412387
5,广州市花都区花城梦特装修工程部,购物服务,家居建材市场,家居建材市场,广东省,广州市,花都区,113.237863,23.413073
6,昌盛不锈钢工艺,购物服务,家居建材市场,建材五金市场,广东省,广州市,花都区,113.238664,23.411843
7,顺成家具批发,购物服务,家居建材市场,家具城,广东省,广州市,花都区,113.236145,23.408766
8,美泰·家居广场,购物服务,家居建材市场,家具城,广东省,广州市,花都区,113.231043,23.397769
9,盛隆沙井盖批发部,购物服务,家居建材市场,建材五金市场,广东省,广州市,花都区,113.24036,23.409411
10,金香冮家私,购物服务,家居建材市场,家具城,广东省,广州市,花都区,113.23462,23.409639
11,顺成家具批发广场(三东大道西),购物服务,家居建材市场,家具城,广东省,广州市,花都区,113.236262,23.408731
12,松下电器(G94店),购物服务,家电电子卖场,家电电子卖场,广东省,广州市,花都区,113.242056,23.493955
13,新居乐防蚊纱窗,购物服务,家居建材市场,建材五金市场,广东省,广州市,花都区,113.24151,23.494148
14,福连天红木馆,购物服务,家居建材市场,家具城,广东省,广州市,花都区,113.244056,23.495407
15,华洲科技,购物服务,家电电子卖场,数码电子,广东省,广州市,花都区,113.236803,23.48513
16,绿茵普LED灯专卖店,购物服务,家居建材市场,灯具瓷器市场,广东省,广州市,花都区,113.246231,23.49729
17,联塑管道,购物服务,家居建材市场,建材五金市场,广东省,广州市,花都区,113.235533,23.484116
18,旭峰铝艺,购物服务,家居建材市场,建材五金市场,广东省,广州市,花都区,113.24846,23.494204
19,伟源钢结构工程部,购物服务,家居建材市场,家居建材市场,广东省,广州市,花都区,113.239335,23.483035
20,诚信不锈钢,购物服务,家居建材市场,建材五金市场,广东省,广州市,花都区,113.239705,23.483443
