步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
281,225,粤海·得邻,1,1,0.3,0.3
440,352,圣诚·商场,1,0.9,0.3,0.27
589,471,广州亚太精品交易中心,1,0.9,0.3,0.27
577,462,广州江湾阳光天地,1,0.9,0.3,0.27
742,594,北京大厦饰博城,1,0.55,0.3,0.165
776,621,信木岚(粤海仰忠汇店),1,0.55,0.3,0.165
835,668,天河城,1,0.55,0.3,0.165
835,668,趣优游专柜,1,0.55,0.3,0.165
915,732,ABC-石烧安格斯牛扒(北京路店),1,0.25,0.3,0.075
783,626,骏田批发广场,1,0.55,0.3,0.165
1007,806,荣戈百货,1,0.25,0.3,0.075
1001,801,金佰利广场,1,0.25,0.3,0.075
1057,846,仙妮蕾德(天河城百货店),1,0.25,0.3,0.075
1079,863,天河城百货(北京路店),1,0.25,0.3,0.075
1033,826,名盛广场,1,0.25,0.3,0.075
1103,882,泰康仰忠精品批发城,1,0.08,0.3,0.024
1185,948,景华商业广场,1,0.08,0.3,0.024
1078,862,海港城,1,0.25,0.3,0.075
1298,1038,大南居商场,1,0.08,0.3,0.024
1275,1020,海印中心,1,0.08,0.3,0.024
1290,1032,广百百货(北京路店),1,0.08,0.3,0.024
1243,994,海印广场,1,0.08,0.3,0.024
1191,953,eHi(城光大厦店),3,0.08,0.3,0.024
1108,886,太平架商业广场,3,0.08,0.3,0.024
1145,916,天平商业广场,3,0.08,0.3,0.024
557,446,万和百货,5,0.9,0.3,0.27
1034,827,富民商城,5,0.25,0.3,0.075
1101,881,惠民商业城,5,0.08,0.3,0.024
686,549,华南匹配城(广园东路辅路),6,0.55,0.3,0.165
781,625,NOC,6,0.55,0.3,0.165
1177,942,大西豪(灏丰)网批城,6,0.08,0.3,0.024
1227,982,大时代网络批发城,6,0.08,0.3,0.024
1205,964,永富国际汽机用品广场,6,0.08,0.3,0.024
432,346,太平架商业广场,7,1,0.3,0.3
469,375,天平商业广场,7,0.9,0.3,0.27
747,598,eHi(城光大厦店),7,0.55,0.3,0.165
928,742,古桥茶街北区E座,8,0.25,0.3,0.075
371,297,小廖的店,8,1,0.3,0.3
1107,886,葵篷商业城,8,0.08,0.3,0.024
1078,862,古桥茶街北区E座,9,0.25,0.3,0.075
988,790,兵兵港岛,9,0.25,0.3,0.075
1247,998,华裕购物广场,9,0.08,0.3,0.024
375,300,海北百货(流通),10,1,0.3,0.3
42,34,金发百货,11,1,0.3,0.3
527,422,星际汇商业中心,11,0.9,0.3,0.27
960,768,沃野广场,12,0.25,0.3,0.075
533,426,西美国际(美博城),13,0.9,0.3,0.27
581,465,广州美博城,13,0.9,0.3,0.27
641,513,美博城C座(广园西路辅路),13,0.9,0.3,0.27
669,535,通通商贸城,13,0.55,0.3,0.165
949,759,新濠畔瑶台广场,13,0.25,0.3,0.075
631,505,柏乐商贸城,13,0.9,0.3,0.27
699,559,迦南商贸城,13,0.55,0.3,0.165
850,680,GTL,13,0.55,0.3,0.165
760,608,新龙安(网络)商贸城,13,0.55,0.3,0.165
787,630,金圣商贸城,13,0.55,0.3,0.165
1219,975,嘉星国际商贸城,13,0.08,0.3,0.024
1249,999,高嘉兴商茂城,13,0.08,0.3,0.024
819,655,曜一城,14,0.55,0.3,0.165
1023,818,7(11中信店),14,0.25,0.3,0.075
1251,1001,商场货梯,14,0.08,0.3,0.024
1241,993,汇家购物广场,15,0.08,0.3,0.024
211,169,沙涌荟,17,1,0.3,0.3
239,191,华宇广场,17,1,0.3,0.3
516,413,百越商场,17,0.9,0.3,0.27
632,506,南珑商业中心,17,0.9,0.3,0.27
775,620,万侨商业广场,17,0.55,0.3,0.165
743,594,沙涌荟,17,0.55,0.3,0.165
934,747,石基富怡三区社区团购,17,0.25,0.3,0.075
1082,866,成达商业中心,17,0.25,0.3,0.075
1068,854,石碁城市广场,17,0.25,0.3,0.075
737,590,万佳汇(装修中),17,0.55,0.3,0.165
420,336,铜锣湾(繁华路店),20,1,0.3,0.3
425,340,百花艺博广场,20,1,0.3,0.3
580,464,花地好邻舍商业中心,20,0.9,0.3,0.27
867,694,钟饰商城,20,0.55,0.3,0.165
867,694,东山百货,20,0.55,0.3,0.165
867,694,东百花地湾百货公司,20,0.55,0.3,0.165
1033,826,壹号文化广场,20,0.25,0.3,0.075
1103,882,花地城广场,20,0.08,0.3,0.024
346,277,PR Measurement,21,1,0.3,0.3
393,314,海乐荟,21,1,0.3,0.3
534,427,华丰广场,23,0.9,0.3,0.27
881,705,喜越广场,23,0.25,0.3,0.075
872,698,恒盛广场,23,0.25,0.3,0.075
440,352,雅瑶广场,24,0.9,0.3,0.27
277,222,钻汇广场,25,1,0.3,0.3
515,412,喜悦天地,25,0.9,0.3,0.27
529,423,富华·里商业中心,25,0.9,0.3,0.27
625,500,番山城,25,0.9,0.3,0.27
659,527,富城商场,25,0.55,0.3,0.165
941,753,番禺友谊商店,25,0.25,0.3,0.075
764,611,上轩广场,25,0.55,0.3,0.165
642,514,新力潮荟购物广场,25,0.9,0.3,0.27
763,610,潮荟APMF区,25,0.55,0.3,0.165
898,718,新大新百货(番禺店),25,0.25,0.3,0.075
777,622,龙泉大酒店&商城,25,0.55,0.3,0.165
1001,801,易发商业街,25,0.25,0.3,0.075
1077,862,小9闪悦(易发商业中心店),25,0.25,0.3,0.075
1001,801,锐豪·新天地,25,0.25,0.3,0.075
781,625,禺山购物中心,25,0.55,0.3,0.165
802,642,a0专柜,25,0.55,0.3,0.165
832,666,雅居乐·邻里时光,25,0.55,0.3,0.165
1024,819,繁华盛世,25,0.25,0.3,0.075
973,778,富华商贸城,25,0.25,0.3,0.075
832,666,鸿禧华庭商场,25,0.55,0.3,0.165
894,715,禺山广场,25,0.25,0.3,0.075
1065,852,洋葱omall跨境电商体验店,25,0.25,0.3,0.075
1030,824,清大至尊,25,0.25,0.3,0.075
1122,898,松岗商贸城,25,0.08,0.3,0.024
198,158,壹号潮流,26,1,0.3,0.3
334,267,金佳活力城,26,1,0.3,0.3
464,371,禺山广场,26,0.9,0.3,0.27
460,368,百德商业中心,26,0.9,0.3,0.27
647,518,a0专柜,26,0.9,0.3,0.27
596,477,禺山购物中心,26,0.9,0.3,0.27
776,621,龙泉大酒店&商城,26,0.55,0.3,0.165
917,734,新大新百货(番禺店),26,0.25,0.3,0.075
826,661,潮荟APMF区,26,0.55,0.3,0.165
825,660,易发商业街,26,0.55,0.3,0.165
760,608,新力潮荟购物广场,26,0.55,0.3,0.165
887,710,番山城,26,0.25,0.3,0.075
1093,874,淘宝城C座,26,0.08,0.3,0.024
921,737,小9闪悦(易发商业中心店),26,0.25,0.3,0.075
900,720,番禺友谊商店,26,0.25,0.3,0.075
1125,900,大同世界广场,26,0.08,0.3,0.024
976,781,海狼安心购,26,0.25,0.3,0.075
1039,831,繁华盛世,26,0.25,0.3,0.075
1195,956,锐豪·新天地,26,0.08,0.3,0.024
1296,1037,西门町购物天地,26,0.08,0.3,0.024
489,391,新好万联时尚坊,27,0.9,0.3,0.27
393,314,时代城,27,1,0.3,0.3
567,454,好万联商城,27,0.9,0.3,0.27
418,334,祥利来商业城,27,1,0.3,0.3
736,589,创荣时代广场,27,0.55,0.3,0.165
843,674,汇赢商业广场,27,0.55,0.3,0.165
773,618,香港ZLF广州东区时代城店,27,0.55,0.3,0.165
963,770,百事佳亨晖广场,27,0.25,0.3,0.075
1286,1029,逸富广场(广州店),27,0.08,0.3,0.024
1167,934,苏尔玛购物广场,27,0.08,0.3,0.024
1130,904,建益商业城,27,0.08,0.3,0.024
512,410,上胜广场,28,0.9,0.3,0.27
686,549,嘉大广场,28,0.55,0.3,0.165
795,636,睿星商业广场,28,0.55,0.3,0.165
981,785,嘉鼎广场,28,0.25,0.3,0.075
934,747,嘉禾名城,28,0.25,0.3,0.075
1060,848,丰兴商业广场,28,0.25,0.3,0.075
1247,998,白云美食购物中心,28,0.08,0.3,0.024
1192,954,富安广场,28,0.08,0.3,0.024
1232,986,嘉禾金铂天地,28,0.08,0.3,0.024
1111,889,名城商城,28,0.08,0.3,0.024
1077,862,佳扬商业广场,28,0.25,0.3,0.075
1109,887,嘉禾广场,28,0.08,0.3,0.024
1236,989,广丰商场,28,0.08,0.3,0.024
692,554,K99商业广场(装修中),28,0.55,0.3,0.165
1241,993,尚城万科里,29,0.08,0.3,0.024
732,586,南岗新街市,29,0.55,0.3,0.165
834,667,南岗新城,29,0.55,0.3,0.165
961,769,鸿福门广场,29,0.25,0.3,0.075
937,750,好又多平价商场(岗星路店),32,0.25,0.3,0.075
368,294,雪松菁英汇(建设中),32,1,0.3,0.3
712,570,永祥商业广场,33,0.55,0.3,0.165
95,76,名店城(江南西路),34,1,0.3,0.3
230,184,江南西·名店城,34,1,0.3,0.3
130,104,丽日商业广场,34,1,0.3,0.3
