0,1,2,3,4
"113.275128,23.117633",珠光街道,"[182.1003530684274, 79.21584647302905]",940.952727000026,53.0835574
"113.177516,23.426931",秀全街道,"[67.60406911970202, 136.25749999999996]",69.20347200000000,3.88880476
"113.322082,23.166966",兴华街道,"[5.3026609586811615, 375.12302597402606]",518.4550235000050,29.2410707
"113.532512,23.593680",城郊街道,"[8.418909233086419, 337.739780361757]",57.504141250000000,3.22858546
"113.599693,23.545329",江埔街道,"[5.566734325055002, 213.8208961038963]",349.9596272499970,19.7325001
"113.303601,23.155071",登峰街道,"[79.40380733774035, 99.6417933227344]",516.4705920000030,29.1290848
"113.322256,23.162492",沙东街道,"[58.52336740701659, 115.3753775510204]",708.718939200006,39.9780874
"113.219459,23.097060",茶滘街道,"[55.45844510568004, 119.09891340782124]",406.0137359999930,22.8957584
"113.220240,23.104881",石围塘街道,"[42.81320619310684, 150.2829423728813]",1042.5422787499900,58.8164822
"113.196641,23.074992",海龙街道,"[39.740317835678894, 161.52171818181807]",274.76567375000100,15.4891378
"113.209708,23.073380",海龙街道,"[39.740317835678894, 161.52171818181807]",181.62902750000000,10.2332293
"113.219071,23.054607",中南街道,"[18.55236621612426, 239.93264705882353]",312.32005249999800,17.6084151
"113.251147,23.158434",矿泉街道,"[73.50785355499414, 107.1588939929328]",631.1050032000100,35.5981601
"113.343957,23.146492",五山街道,"[115.90651392485924, 89.73057320227629]",136.64060200000000,7.69443225
"113.223999,23.297539",江高镇,"[8.3949517806964, 274.4001449165407]",40.93388025000000,2.29348871
"113.579241,23.553745",城郊街道,"[8.418909233086419, 337.739780361757]",480.2595087500030,27.0856127
"113.432709,22.957113",大龙街道,"[23.16698033750861, 171.71676452905814]",655.901170750005,36.997463
"113.249011,23.076163",白鹤洞街道,"[39.27909707870341, 158.79401621621625]",44.54830250000000,2.49745861
"113.180778,23.068917",海龙街道,"[39.740317835678894, 161.52171818181807]",61.12993500000000,3.43319708
"113.227264,23.092023",茶滘街道,"[55.45844510568004, 119.09891340782124]",334.84782239999700,18.8797073
"113.342232,22.937036",沙头街道,"[88.2522953351292, 106.79305580693818]",83.97270115000010,4.72226527
"113.578764,22.803271",南沙街道,"[12.222665298371332, 227.51768670618156]",66.00930125000010,3.70855059
"113.288502,23.253378",嘉禾街道,"[47.3955120506451, 127.4885835189311]",506.85040775000500,28.5861964
"113.219506,23.359482",新雅街道,"[29.334987857044233, 174.83276530612255]",189.09676375000000,10.6546503
"113.365179,22.946536",市桥街道,"[95.84069730524045, 85.06156200941909]",1024.8637820000100,57.8188452
"113.365263,22.936507",市桥街道,"[95.84069730524045, 85.06156200941909]",1199.5618489999800,67.6774464
"113.545965,23.113888",云埔街道,"[87.97298544631705, 106.311265625]",442.57912579999700,24.9592248
"113.284066,23.230568",鹤龙街道,"[83.79551453307802, 113.74156]",547.1153759000120,30.8584383
"113.535712,23.094921",南岗街道,"[14.024370322362723, 246.24005882352952]",131.65985875000000,7.41335781
"113.399038,23.153622",新塘街道,"[22.902008083435057, 177.12659677419379]",147.12374500000000,8.28601937
"113.535119,23.065057",夏港街道,"[31.56496717738633, 169.72024254473158]",130.72983250000000,7.36087436
"113.816258,23.258781",荔湖街道,"[45.150439797616244, 134.2123214285714]",14.021240000000000,0.77474846
"113.515987,23.080114",穗东街道,"[4.6893491423535085, 421.69540625]",225.85125675000000,12.7287883
"113.272673,23.096911",江南中街道,"[251.25538584576447, 51.88737942122186]",1315.6261999999800,74.2272163
"113.437019,23.188683",联和街道,"[14.663077406178758, 163.97963696172266]",76.79354450000020,4.31712946
"113.447487,23.445691",花东镇,"[6.9258699741879, 256.12891396558615]",0.29241,0
"113.253591,23.065022",东沙街道,"[40.780627067357685, 162.49387186629522]",200.46149500000000,11.2959874
"113.224514,23.080649",东漖街道,"[27.682921617696667, 195.44158000000004]",244.75177274999900,13.7953865
"113.281704,23.066366",瑞宝街道,"[74.10167691739919, 92.37475510204078]",716.3303040000040,40.4076137
"113.237787,23.206591",石井街道,"[20.53132902973279, 183.15865772960612]",754.8972080000230,42.58403
"113.280858,23.232976",嘉禾街道,"[47.3955120506451, 127.4885835189311]",806.2532485000130,45.4821658
"113.520805,23.352100",九佛街道,"[57.75494482252115, 116.60596153846154]",137.3923440000000,7.73685473
"113.573003,23.275713",新龙镇,"[104.20285077784183, 84.82398765432102]",142.14525500000000,8.00507209
"113.521102,23.183466",萝岗街道,"[8.567617354703852, 229.7669830917878]",8.138384000000000,0.44276579
"113.245353,23.047404",东沙街道,"[40.780627067357685, 162.49387186629522]",100.13779000000000,5.63449724
"113.232892,23.076157",冲口街道,"[47.57609228536047, 128.34028]",353.5187262499990,19.933348
"113.292032,23.079280",瑞宝街道,"[74.10167691739919, 92.37475510204078]",808.2199680000230,45.5931521
"113.544052,23.093481",南岗街道,"[14.024370322362723, 246.24005882352952]",218.83459000000000,12.3328221
"113.311762,23.128308",梅花村街道,"[98.01300086187713, 116.3462712765957]",274.6695698499970,15.4837144
