"113.275128,23.117633",珠光街道,"[182.1003530684274, 79.21584647302905]"
"113.177516,23.426931",秀全街道,"[67.60406911970202, 136.25749999999996]"
"113.322082,23.166966",兴华街道,"[5.3026609586811615, 375.12302597402606]"
"113.532512,23.593680",城郊街道,"[8.418909233086419, 337.739780361757]"
"113.599693,23.545329",江埔街道,"[5.566734325055002, 213.8208961038963]"
"113.303601,23.155071",登峰街道,"[79.40380733774035, 99.6417933227344]"
"113.322256,23.162492",沙东街道,"[58.52336740701659, 115.3753775510204]"
"113.219459,23.097060",茶滘街道,"[55.45844510568004, 119.09891340782124]"
"113.220240,23.104881",石围塘街道,"[42.81320619310684, 150.2829423728813]"
"113.196641,23.074992",海龙街道,"[39.740317835678894, 161.52171818181807]"
"113.209708,23.073380",海龙街道,"[39.740317835678894, 161.52171818181807]"
"113.219071,23.054607",中南街道,"[18.55236621612426, 239.93264705882353]"
"113.251147,23.158434",矿泉街道,"[73.50785355499414, 107.1588939929328]"
"113.343957,23.146492",五山街道,"[115.90651392485924, 89.73057320227629]"
"113.223999,23.297539",江高镇,"[8.3949517806964, 274.4001449165407]"
"113.579241,23.553745",城郊街道,"[8.418909233086419, 337.739780361757]"
"113.432709,22.957113",大龙街道,"[23.16698033750861, 171.71676452905814]"
"113.249011,23.076163",白鹤洞街道,"[39.27909707870341, 158.79401621621625]"
"113.180778,23.068917",海龙街道,"[39.740317835678894, 161.52171818181807]"
"113.227264,23.092023",茶滘街道,"[55.45844510568004, 119.09891340782124]"
"113.342232,22.937036",沙头街道,"[88.2522953351292, 106.79305580693818]"
"113.578764,22.803271",南沙街道,"[12.222665298371332, 227.51768670618156]"
"113.288502,23.253378",嘉禾街道,"[47.3955120506451, 127.4885835189311]"
"113.219506,23.359482",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.365179,22.946536",市桥街道,"[95.84069730524045, 85.06156200941909]"
"113.365263,22.936507",市桥街道,"[95.84069730524045, 85.06156200941909]"
"113.545965,23.113888",云埔街道,"[87.97298544631705, 106.311265625]"
"113.284066,23.230568",鹤龙街道,"[83.79551453307802, 113.74156]"
"113.535712,23.094921",南岗街道,"[14.024370322362723, 246.24005882352952]"
"113.399038,23.153622",新塘街道,"[22.902008083435057, 177.12659677419379]"
"113.535119,23.065057",夏港街道,"[31.56496717738633, 169.72024254473158]"
"113.816258,23.258781",荔湖街道,"[45.150439797616244, 134.2123214285714]"
"113.515987,23.080114",穗东街道,"[4.6893491423535085, 421.69540625]"
"113.272673,23.096911",江南中街道,"[251.25538584576447, 51.88737942122186]"
"113.437019,23.188683",联和街道,"[14.663077406178758, 163.97963696172266]"
"113.447487,23.445691",花东镇,"[6.9258699741879, 256.12891396558615]"
"113.253591,23.065022",东沙街道,"[40.780627067357685, 162.49387186629522]"
"113.224514,23.080649",东漖街道,"[27.682921617696667, 195.44158000000004]"
"113.281704,23.066366",瑞宝街道,"[74.10167691739919, 92.37475510204078]"
"113.237787,23.206591",石井街道,"[20.53132902973279, 183.15865772960612]"
"113.280858,23.232976",嘉禾街道,"[47.3955120506451, 127.4885835189311]"
"113.520805,23.352100",九佛街道,"[57.75494482252115, 116.60596153846154]"
"113.573003,23.275713",新龙镇,"[104.20285077784183, 84.82398765432102]"
"113.521102,23.183466",萝岗街道,"[8.567617354703852, 229.7669830917878]"
"113.245353,23.047404",东沙街道,"[40.780627067357685, 162.49387186629522]"
"113.232892,23.076157",冲口街道,"[47.57609228536047, 128.34028]"
"113.292032,23.079280",瑞宝街道,"[74.10167691739919, 92.37475510204078]"
"113.544052,23.093481",南岗街道,"[14.024370322362723, 246.24005882352952]"
"113.311762,23.128308",梅花村街道,"[98.01300086187713, 116.3462712765957]"
"113.242775,23.171258",同德街道,"[32.58955494237289, 151.9037440476191]"
"113.507680,22.825237",黄阁镇,"[12.708079457893394, 261.8939180076628]"
"113.258180,23.207327",黄石街道,"[150.62149362379841, 41.701676426047406]"
"113.369820,22.937627",市桥街道,"[95.84069730524045, 85.06156200941909]"
"113.362556,22.932184",市桥街道,"[95.84069730524045, 85.06156200941909]"
"113.300157,23.328626",人和镇,"[13.00771279080726, 238.1097054525012]"
"113.289330,23.140032",华乐街道,"[218.98912668916373, 61.72614772727279]"
"113.328201,23.098714",赤岗街道,"[68.39043573589576, 107.44996277495784]"
"113.259374,23.137955",六榕街道,"[108.09817926976336, 91.19101265822795]"
"113.239754,23.167917",同德街道,"[32.58955494237289, 151.9037440476191]"
"113.500669,23.082489",穗东街道,"[4.6893491423535085, 421.69540625]"
"113.464724,23.136633",大沙街道,"[29.827333892334533, 139.13144701986755]"
"113.504170,23.174115",萝岗街道,"[8.567617354703852, 229.7669830917878]"
"113.344401,23.175901",元岗街道,"[29.029013149383506, 149.99238211382115]"
"113.514445,23.061776",夏港街道,"[31.56496717738633, 169.72024254473158]"
"113.371695,22.924639",桥南街道,"[48.07594328578751, 125.18450553250342]"
