,云顶沐足城,生活服务,洗浴推拿场所,洗浴推拿场所.1,广东省,广州市,花都区,113.231347,23.397752
0,碧海雲天,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.243504,23.392314
1,益康沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.222341,23.397073
2,十里桃花休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.237632,23.405087
3,荣康经络养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.233555,23.42093
4,俏丽桑拿沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.20609,23.399789
5,中医保健馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.235627,23.407579
6,太乙妙康保健按摩馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.226473,23.471755
7,永红盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.221496,23.469824
8,益康理疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.224879,23.469862
9,胜兰休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.219381,23.47049
10,喜悦足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.222505,23.469898
11,富贵沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.221492,23.470517
12,港湾足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.222052,23.46986
13,福康经络养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.222331,23.469523
14,安然纳米汗蒸馆(芙蓉店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.224223,23.46708
15,胜兰水会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.219311,23.470608
16,御水足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.220914,23.47001
17,康尔乐养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.230659,23.340255
18,五朝皇宫养生之道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.230365,23.340273
19,晶莎足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.232916,23.343321
20,足韵堂棋牌养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.231637,23.342426
21,芳迎沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.238002,23.093124
22,芳之圆棋牌沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.237426,23.091597
23,健康养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.237271,23.090405
24,期待盲人推拿馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.235134,23.091638
25,一指康沐足(芳华门诊西北),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.235662,23.096637
26,逸足康,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.232329,23.091513
27,一指康沐足(花地大道北),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.235815,23.097664
28,丽叶盲人按摩所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.23026,23.092775
29,波涛阁芬兰浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.227984,23.08932
30,郑远元专业修脚房(花地大道北),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.232934,23.093802
31,芳草堂中医养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,荔湾区,113.231361,23.094198
32,同德皇宫海鲜酒家,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.237218,23.174995
33,蓝色海岸,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.25046,23.173366
34,逸舒阁沐足(暂停营业),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.238056,23.173368
35,御品沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.238449,23.174793
36,国医保健馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.238188,23.174844
37,杨氏足道养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.239745,23.173601
38,康乐室,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.239473,23.173739
39,哈曼皇宫沐足休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.237192,23.175037
40,华夏传统推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.238967,23.171321
41,缤缤休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.250459,23.177742
42,郑远元专业修脚房(富康路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.240212,23.175882
43,御品休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.240734,23.174543
44,益足健(上步店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.236814,23.169435
45,广福源店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.240572,23.170088
46,皇圣大酒店沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.236228,23.177021
47,康健美瑶浴养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.239848,23.169696
48,凯升沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.235019,23.169643
49,江南水会(增槎路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.225422,23.171124
50,海曼岛国际水汇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.23499,23.169397
51,岐元保健按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.317581,23.015057
52,美豪足疗会(暂停营业),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.314201,23.012406
53,维雅沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.323017,23.014233
54,盈侨·泰享受(四季花园店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.31802,23.015376
55,维加斯休闲会(大石店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.32503,23.010196
56,金丽港(大石店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.313899,23.014583
57,视听沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.313896,23.014568
58,福康盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.31634,23.018738
59,和氏修脚堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.315728,23.01839
60,郑远元专业修脚房(大石群贤路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.317644,23.01856
61,君鸿沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.314495,23.017922
62,汗蒸养生会馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.318632,23.018197
63,海健盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.313629,23.095417
64,喜乐休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.326307,23.088695
65,喜康盲人按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.31909,23.096485
66,足道乐,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.314802,23.096925
67,桂田推拿馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.31601,23.092368
68,悦桂湾水汇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.315982,23.093241
69,禧约SPA养生按摩会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.320331,23.095762
70,水伊方国际休闲水疗会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.293359,23.104223
71,月伴湾水会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.316093,23.093088
72,永安堂盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.315655,23.093969
73,常乐沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.321233,23.091583
74,嘉塘桑拿沐足保健中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.321193,23.085924
75,一指禅中医养生馆(客村丽影广场店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.320038,23.095797
76,黄氏足艺堂(客村店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.322024,23.092185
77,韩蕴沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.322073,23.092284
78,潘姐保健按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.316566,23.089119
79,维加斯休闲会(敦和店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.316308,23.089777
80,昇星沐足城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.312616,23.090941
