,广州市白云区金色老年公寓,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,白云区,113.233548,23.272157
0,天鹿湖老年人护理中心,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,黄埔区,113.416929,23.236614
1,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,海珠区,113.399975,23.083863
2,板桥村老年人颐乐站,体育休闲服务,休闲场所,休闲场所,广东省,广州市,番禺区,113.388507,23.01295
3,大岗镇星光老年人之家,体育休闲服务,休闲场所,休闲场所,广东省,广州市,南沙区,113.389179,22.781332
4,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,花都区,113.421454,23.424415
5,椿萱茂(广州兴业)老年公寓,体育休闲服务,度假疗养场所,度假疗养场所,广东省,广州市,番禺区,113.369917,22.913469
6,东环街星光老年之家,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,广州市,番禺区,113.379923,22.964659
7,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,番禺区,113.36281,22.935932
8,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,黄埔区,113.45196,23.095321
9,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,从化区,113.584026,23.551534
10,均和村星光老年之家,体育休闲服务,休闲场所,休闲场所,广东省,广州市,黄埔区,113.555494,23.26741
11,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,黄埔区,113.543296,23.277222
12,星光老年之家,体育休闲服务,休闲场所,休闲场所,广东省,广州市,黄埔区,113.519428,23.216162
13,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,南沙区,113.488519,22.733806
14,麒麟新城星光老年之家,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,广州市,南沙区,113.497145,22.810115
15,中新社区星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,广州市,增城区,113.619607,23.286775
