,冠元推拿养生,医疗保健服务,诊所,诊所.1,广东省,广州市,花都区,113.235386,23.409007
0,花都区花城街三东村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.234244,23.413332
1,杜丽芬诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.231596,23.402916
2,冠元中医,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.235366,23.40888
3,康和医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.231555,23.422071
4,益民门诊部(凤凰北路),医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.233695,23.406862
5,花都区花东镇山下村卫生站分站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.243144,23.41078
6,朱寒梅诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.234266,23.421116
7,曾广键诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.239174,23.403813
8,新和诊所(馨泉居北),医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.247176,23.413718
9,瑞边村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.235108,23.490953
10,花都区狮岭镇新庄卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.23594,23.479551
11,康明综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.224674,23.469241
12,花都旗岭综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.221839,23.468864
13,新民卫生所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.223296,23.467819
14,高建宏诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.223635,23.467591
15,花都区健民综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.220737,23.470147
16,花都农民工综合医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.224617,23.469352
17,花山镇儒林村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.258307,23.480167
18,广州市惠民门诊部(大朗中路),医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.24362,23.239706
19,何智良诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.228257,23.254327
20,谭德耀诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.250197,23.253353
21,许兰诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.250835,23.254669
22,陈沛文诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.250413,23.258833
23,播创医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.242346,23.239323
24,尹引连诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.240255,23.239002
25,新楼社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.241782,23.335511
26,雅博医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.230837,23.33976
27,雅亿囗腔,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.230485,23.340632
28,东镜村雅博门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.230778,23.339858
29,安泰门诊,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.233846,23.343617
30,东镜卫生分站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.22939,23.339228
31,杨汉文诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.227632,23.340798
32,花都区新雅街道东镜村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.23115,23.341185
33,陈四诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.227503,23.340718
34,东镜医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.230752,23.340502
35,花都易康诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.246308,23.347401
36,长岗村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.258095,23.323528
37,广州市花都区新华镇东镜村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.231158,23.341308
38,芳华门诊,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.237115,23.093469
39,泰健中医门诊部,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.237337,23.094579
40,协同诊所,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.23728,23.089696
41,翰阳口腔门诊,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.232221,23.091409
42,信德门诊部,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.231382,23.094119
43,馨良医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.239237,23.172705
44,林鸿彪诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.240289,23.173223
45,广润门诊,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.239396,23.17061
46,利德门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.236014,23.173987
47,邓林诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.239427,23.170931
48,李振元诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.240097,23.170329
49,洪昌工业路诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.317088,23.012648
50,大石礼村诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.31786,23.01301
51,冶金门诊部,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.315154,23.022424
52,全国口腔连锁机构,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.324019,23.011198
