,新斯浦物流中心,生活服务,物流速递,物流速递.1,广东省,广州市,花都区,113.238132,23.41208
0,极兔速递,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.238083,23.412033
1,速尔快递(花都分公司),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.252224,23.412869
2,中国联通(花都营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,花都区,113.22767,23.402325
3,菜鸟驿站(广州市花都区东园社店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.236501,23.412002
4,长城宽带(凤凰北路店),生活服务,电讯营业厅,电讯营业厅,广东省,广州市,花都区,113.234647,23.412577
5,顺丰速运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.233665,23.413749
6,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.237777,23.408333
7,中国联动(三东社区WO店),生活服务,电讯营业厅,电讯营业厅,广东省,广州市,花都区,113.2351,23.409571
8,中国移动沟通100服务厅(公益路服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.218387,23.409707
9,中国电信(新都营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.201986,23.400652
10,菜鸟驿站(广州三东村一号店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.232237,23.41542
11,中国电信(紫薇路合作营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.233103,23.404638
12,妈妈驿站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.230631,23.413757
13,百世物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.252331,23.412939
14,中国联通,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,花都区,113.243165,23.409343
15,广州金森盛物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.235894,23.484513
16,壹米滴答,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.236109,23.484655
17,中国邮政(棋岭办事处),生活服务,邮局,邮局,广东省,广州市,花都区,113.224568,23.466967
