,名称,大类,中类,小类,省,市,区,经度,纬度
0,广州银行(花都支行),金融保险服务,银行,银行,广东省,广州市,花都区,113.234071,23.401739
1,中国农业银行(曙光路支行),金融保险服务,银行,中国农业银行,广东省,广州市,花都区,113.227678,23.40225
2,中国工商银行(广州花都雅居乐支行),金融保险服务,银行,中国工商银行,广东省,广州市,花都区,113.233358,23.400324
3,广州农商银行(三东分理处),金融保险服务,银行,广州农商银行,广东省,广州市,花都区,113.232081,23.410088
4,中国建设银行(广州花都分行),金融保险服务,银行,中国建设银行,广东省,广州市,花都区,113.233503,23.402441
5,交通银行(广州花都支行),金融保险服务,银行,交通银行,广东省,广州市,花都区,113.230845,23.397139
6,广州农商银行(公益路支行),金融保险服务,银行,广州农商银行,广东省,广州市,花都区,113.217697,23.398071
7,中国光大银行(广州花都支行),金融保险服务,银行,中国光大银行,广东省,广州市,花都区,113.233568,23.405282
8,中国建设银行(花都锦东支行),金融保险服务,银行,中国建设银行,广东省,广州市,花都区,113.228626,23.405366
9,招商银行(广州花都支行),金融保险服务,银行,招商银行,广东省,广州市,花都区,113.234108,23.400358
10,中国银行(广州花都迎宾大道支行),金融保险服务,银行,中国银行,广东省,广州市,花都区,113.234089,23.402792
11,中国工商银行(广州紫薇支行),金融保险服务,银行,中国工商银行,广东省,广州市,花都区,113.223971,23.405209
12,交通银行(锦东花园支行),金融保险服务,银行,交通银行,广东省,广州市,花都区,113.23015,23.40524
13,中国银行(广州花都紫薇路支行),金融保险服务,银行,中国银行,广东省,广州市,花都区,113.225901,23.405108
14,中国农业银行(花都名门支行),金融保险服务,银行,中国农业银行,广东省,广州市,花都区,113.222739,23.410241
15,中信银行(花都支行)(装修中),金融保险服务,银行,中信银行,广东省,广州市,花都区,113.22812,23.400686
16,九江银行(花都支行),金融保险服务,银行,银行,广东省,广州市,花都区,113.232966,23.401471
17,平安银行(广州花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.243313,23.395545
18,中国邮政储蓄银行(花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.223695,23.400895
19,中国工商银行(广州花都分行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.227416,23.401812
20,广州农商银行(紫薇路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.231416,23.404753
21,广州农商银行(正盛支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.223583,23.400903
22,华夏银行(广州花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.233389,23.405121
23,中国民生银行(广州花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.233079,23.401469
24,广州农商银行(长岗分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.227554,23.437112
25,广发银行(宝华路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.206658,23.386461
26,上海浦东发展银行(花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.222669,23.400863
27,中国邮政储蓄银行(旗岭大街营业所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.220291,23.469902
28,中国工商银行ATM,金融保险服务,银行,中国工商银行,广东省,广州市,花都区,113.220197,23.469956
29,广州农商银行(旗岭支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.227401,23.469651
30,中国农业发展银行(花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.206653,23.392553
31,中国邮政储蓄银行(装修中),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.217154,23.406134
32,广发银行(新华支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.23412,23.403146
33,中国工商银行(公益大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.217715,23.398832
34,中国建设银行(广州高晟广场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.245341,23.390469
35,中国工商银行(绿色金融街支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.245184,23.390907
36,中国邮政储蓄银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.223656,23.400839
37,中国光大银行信用卡办理处,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.226742,23.405557
38,中国银行(广州花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.209697,23.375926
39,中国银行(广州花都银燕支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.217379,23.394094
40,中国建设银行(广州天贵支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.222272,23.391806
41,广州银行(迎宾大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.24572,23.389057
42,广州花都稠州村镇银行(建设路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.211746,23.416319
43,中国农业银行(绿色金融改革创新试验区花都分行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.204876,23.393171
44,兴业银行(花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.223291,23.400848
45,中国建设银行(广州花都钻石商务大厦支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.217702,23.39852
46,广州农商银行(凤华支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.204942,23.389746
47,中国邮政储蓄银行(松园路营业所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.204332,23.394317
48,中国银行(茶园路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.216635,23.386501
49,广州农商银行(龙湖分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.227218,23.25392
50,中国工商银行(江村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.230263,23.272927
51,中国农业银行(广州均禾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.257135,23.245859
52,中国农业银行(江高支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.230181,23.27521
53,广州农商银行(平沙支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.256676,23.247065
54,广州农商银行(大朗支行),金融保险服务,银行,农村商业银行,广东省,广州市,白云区,113.240327,23.23873
55,广州农商银行(嘉禾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.273801,23.230742
56,中国建设银行(广州江高支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.231202,23.275435
57,中国银行(江高支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.231605,23.275385
58,中国邮政储蓄银行(嘉禾分行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.272856,23.230738
59,24小时广州衣商银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.230661,23.273132
60,广州农商银行(均禾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.251266,23.254258
61,中国邮政储蓄银行(江高邮局营业部),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.231263,23.273141
62,中国工商银行(均禾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.270019,23.255492
63,中国银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.254245,23.240425
64,广州农商银行(江村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.234102,23.275725
65,广州农商银行(朝阳支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.209747,23.22214
66,中国邮政储蓄银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.231085,23.273211
