,鲜一鲜农庄,餐饮服务,中餐厅,中餐厅.1,广东省,广州市,花都区,113.238339,23.412032
0,大家宴农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.237878,23.411905
1,阿桂美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.234279,23.411468
2,桂林米粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.242629,23.410403
3,民信私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.233727,23.414327
4,东圃狗肉档,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.2359,23.412155
5,百汇美食农庄,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,花都区,113.236453,23.420141
6,兴客旺养生美食桑拿火锅,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.233739,23.413451
7,民信浸猪腰,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.2338,23.414295
8,肥财烧腊食府,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.233736,23.414076
9,大顺记炖品,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.234295,23.410064
10,梅县腌面(三东市场店),餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.235349,23.408264
11,旺角竹窝肠粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.235366,23.407578
12,花城山地鸡,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.234553,23.418778
13,辉记拉肠(顺天楼东),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.24255,23.41139
14,CALIFORNIA Bella泛宇国际会所,餐饮服务,外国餐厅,外国餐厅,广东省,广州市,花都区,113.233174,23.407009
15,隆江猪脚饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.235626,23.408305
16,鼎鲜牛潮汕牛肉火锅(花都店),餐饮服务,中餐厅,火锅店,广东省,广州市,花都区,113.237429,23.406123
17,生力庄园,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.24467,23.41135
18,菌皇庄(花都店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.240341,23.40458
19,温府家宴,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.237805,23.406658
20,金宝二胡豆腐阁,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,花都区,113.23424,23.407882
21,正宗黄牛肉馆(花都店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.234178,23.420156
22,GRILL食肉,餐饮服务,外国餐厅,外国餐厅,广东省,广州市,花都区,113.23202,23.40469
23,何记原味汤粉王,餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.242717,23.410503
24,靓宴羊杂,餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.235338,23.407664
25,财记烧味茶餐厅,餐饮服务,快餐厅,茶餐厅,广东省,广州市,花都区,113.241827,23.409216
26,龙井湖(花都店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.226562,23.405954
27,卤喜正宗潮汕卤水狮头鹅,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.231145,23.403708
28,百利鸽王名阁药膳乳鸽专门店(花都店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.239961,23.404777
29,东生美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.243452,23.409348
30,香港聚强佛跳墙(花都2号店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.228227,23.402931
31,尚琳农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.236222,23.419848
32,御膳阁,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,花都区,113.239582,23.403892
33,美森西餐厅(曙光大道店),餐饮服务,外国餐厅,西餐厅(综合风味),广东省,广州市,花都区,113.22786,23.404141
34,喜悦农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.24022,23.490323
35,嫁鱼儿,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.241705,23.491796
36,顺永火锅店,餐饮服务,中餐厅,火锅店,广东省,广州市,花都区,113.239453,23.488735
37,顺景荟酒楼,餐饮服务,中餐厅,综合酒楼,广东省,广州市,花都区,113.243962,23.495414
38,御煌饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.243723,23.494529
39,永顺农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.239595,23.488739
40,冇师傅,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,花都区,113.240602,23.496997
41,里面外面,餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.24177,23.491714
42,羊鸡队羊肉火锅,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.241553,23.491344
43,财记美味餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.235169,23.485329
44,农家饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.243258,23.49453
45,福建云吞店,餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.235531,23.485417
46,福建沙县特色小吃,餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.235642,23.484761
47,新庄果园饭堂,餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.235831,23.477846
48,芙蓉庄园,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.261864,23.495728
49,家味缘餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.234054,23.472931
50,茗忻农家大院,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.237548,23.475358
51,鸿波山庄餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.24113,23.509716
52,老地方餐馆(776乡道店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.239697,23.510681
53,锦源养生主题餐馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.220038,23.469201
54,成李记快餐店(旗岭店),餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.223745,23.469563
55,五谷渔粉(高新学校店),餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.232956,23.472179
56,北迹露营夏至餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.23616,23.5103
57,湘鄂家常菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.222843,23.470187
58,老重庆农家菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.222859,23.470561
59,老炎竹筒饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.239256,23.462186
60,信友川菜馆,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,花都区,113.221905,23.465152
61,花仙荟餐厅,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,花都区,113.260487,23.461153
62,渔岛海鲜城,餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,花都区,113.208174,23.482267
63,湖南饭店(河滨西路店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,花都区,113.226315,23.480019
64,兰州拉面,餐饮服务,中餐厅,清真菜馆,广东省,广州市,花都区,113.221385,23.468662
65,花都芙蓉峡漂流烧烤场,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,花都区,113.215093,23.501303
66,娇娇酒家,餐饮服务,中餐厅,综合酒楼,广东省,广州市,花都区,113.222591,23.470433
67,福建第一名饺(富誉路店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.217606,23.47207
68,沙县小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.232398,23.471511
69,柒货本味湘菜(旗岭店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,花都区,113.223463,23.466617
70,步步农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.247449,23.483882
71,全叹美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.221542,23.470386
72,喜悦私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239094,23.256243
73,一品鲜潮味汤粉世家隆江猪脚饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236702,23.24882
74,湘味轩,餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,白云区,113.237301,23.25619
75,沙县小吃(唐阁店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,白云区,113.235234,23.256157
76,天天川菜,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,白云区,113.237294,23.256185
77,潮味原隆江猪脚饭,餐饮服务,中餐厅,潮州菜,广东省,广州市,白云区,113.241838,23.254299
78,三记粤之味,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,白云区,113.241683,23.256218
79,涵玥隆江猪脚饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.23763,23.249075
80,福建名饺,餐饮服务,中餐厅,综合酒楼,广东省,广州市,白云区,113.241525,23.256746
81,豫川园餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236464,23.249056
82,龙苑农家菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.235493,23.256153
83,木桶饭湘菜馆,餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,白云区,113.236948,23.249061
84,沙县小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236568,23.249178
85,兰州正宗牛肉拉面(五湖楼南),餐饮服务,中餐厅,清真菜馆,广东省,广州市,白云区,113.236229,23.248775
86,千里香混沌(白云分店),餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.237463,23.256837
