,幸福·月光茶人(好万年店),餐饮服务,冷饮店,冷饮店.1,广东省,深圳市,宝安区,113.784839,22.715557
0,幸福方向烘焙店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.786679,22.733017
1,潮汕小,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.780428,22.679331
2,coffii&joy,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.77551,22.691229
3,艺品轩(福永德金店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.787239,22.688249
4,茶萃吧,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.788181,22.68804
5,上岛咖啡(步涌店),餐饮服务,咖啡厅,上岛咖啡,广东省,深圳市,宝安区,113.812153,22.758493
6,乐茶道(步涌店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.809042,22.759244
7,雅顿蛋糕坊(新万众店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.810361,22.759238
8,化州爽爽甜品(步涌新村店),餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.810814,22.757155
9,找茶吧,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.810064,22.75885
10,爽洋洋奶茶店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.810777,22.75852
11,茶萃吧(茭塘店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.808392,22.721461
12,金芒果烘焙(马安山店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.816101,22.719644
13,亲亲熊猫,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.816285,22.72003
14,谢谢礼茶文化,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.809932,22.685264
15,新茶道(福永店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.810685,22.676012
16,52hZ.Cafe,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.808162,22.685823
17,翠华餐厅(宝安机场一店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.810365,22.630393
18,DQ冰淇淋(宝安机场店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.808423,22.629159
19,每芋丁,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.821413,22.651106
20,喜茶(深圳机场国内到达厅店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.811463,22.628429
21,粤竣甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.822202,22.65245
22,caffe MARYLING(深圳宝安国际机场T3航站楼)09252/,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,宝安区,113.811739,22.627478
23,益禾烤奶(机场店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.826756,22.648662
24,慕茶,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,宝安区,113.831312,22.635654
25,咖啡王(深圳宝安国际机场T3航站楼),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.812572,22.63079
26,月光茶人(福围店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.825582,22.649781
27,星巴克臻选(宝安机场2店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,宝安区,113.811967,22.62757
28,蜜菓茶语,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.823142,22.653341
29,喵小苑,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.826843,22.649257
30,滇品爱上酸奶牛,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.819741,22.655503
31,禾膳堂果茶妹,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.82963,22.638189
32,星巴克臻选(宝安机场5店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,宝安区,113.813328,22.626125
33,金百合蛋糕(福围中路店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.823005,22.652935
34,子情贝诺·生日蛋糕(福围店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.822884,22.652691
