,吴仕娣西医内科诊所,医疗保健服务,专科医院,专科医院.1,广东省,深圳市,宝安区,113.783813,22.724596,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,陈年虎中医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.783763,22.727943,,,,,
1,润笑口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.78624,22.733426,,,,,
2,润笑口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.786233,22.733486,,,,,
3,叶泉明口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.789611,22.715049,,,,,
4,深圳博泰口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.790627,22.692433,,,,,
5,黎国崇西医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.807832,22.763956,,,,,
6,翁叨艳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.809976,22.75888,,,,,
7,忠诚口腔护理,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.810637,22.75536,,,,,
8,牙牙乐,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.812372,22.754741,,,,,
9,深圳贝奇口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.813664,22.754182,,,,,
10,永安妇科,医疗保健服务,专科医院,妇科医院,广东省,深圳市,宝安区,113.815871,22.753721,,,,,
11,深圳爱达口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.809275,22.723349,,,,,
12,深圳维良德口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.806407,22.723229,,,,,
13,深圳维良德口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.806362,22.723152,,,,,
14,丹妮特口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.816826,22.719602,,,,,
15,益齿佳牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.807216,22.68564,,,,,
16,深圳美思特口腔诊所(社保店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.808058,22.684895,,,,,
17,桥头叶生牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.807267,22.685735,,,,,
