,健源商品店,购物服务,便民商店/便利店,便民商店/便利店.1,广东省,深圳市,宝安区,113.773965,22.726737
0,鑫鑫商品店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.775203,22.728145
1,中原商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.789461,22.714725
2,恒海渔具便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.776913,22.729727
3,信赖便利店(田沁苑西),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780447,22.721992
4,欣运里便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.779595,22.724667
5,麒麟便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780209,22.722383
6,佳和百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780397,22.72144
7,士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.779648,22.724708
8,美谊家,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780366,22.721543
9,美宜佳(南环路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780412,22.72171
10,富恒百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.781933,22.726487
11,宜佳百货(沙井店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.781618,22.722256
12,丽豪平价百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780299,22.722406
13,诚信便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.781003,22.724847
14,家乐通(三间仔分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780562,22.725939
15,维客佳(永顺分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780619,22.725911
16,优选便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.781576,22.721884
17,百圣购物,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.783463,22.74026
18,天猫小店(新志兴二路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.782222,22.722222
19,佳隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.788277,22.730888
20,旺旺便利店(万乐路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.78206,22.724655
21,365超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.782614,22.676286
22,俊达百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.78194,22.686437
23,鑫辉百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.780478,22.679356
24,乐购(骏星工业园),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.781102,22.679648
25,美宜多便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.783662,22.683277
26,好友便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.782537,22.683915
27,幸福之家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.782627,22.683892
