,儿童沙池乐园,体育休闲服务,体育休闲服务场所,体育休闲服务场所.1,广东省,深圳市,宝安区,113.770846,22.727371,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,萌芽儿童游乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.784851,22.715695,,,,,
1,好宝贝儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.803082,22.757981,,,,,
2,丹尼熊儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.808625,22.723618,,,,,
3,儿童梦幻乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.807118,22.683596,,,,,
4,开心哈乐儿童主题乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.809468,22.668044,,,,,
5,森林儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.825027,22.674278,,,,,
6,考拉大冒险益智儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.82626,22.674833,,,,,
7,阳光宝贝儿童游乐城,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.823624,22.69472,,,,,
8,好宝贝儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.825874,22.674486,,,,,
9,森林童话儿童乐园(彩虹缤纷城店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.825027,22.674278,,,,,
10,儿童乐园儿童游乐城,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.824365,22.693914,,,,,
11,奇乐多儿童动漫游乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.827844,22.670238,,,,,
12,福海儿童体验中心,体育休闲服务,娱乐场所,娱乐场所,广东省,深圳市,宝安区,113.794243,22.688368,,,,,
13,童心岛儿童乐园,体育休闲服务,休闲场所,休闲场所,广东省,深圳市,宝安区,113.842278,22.8071,,,,,
14,嘻哈乐园儿童乐园,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,宝安区,113.841399,22.799258,,,,,
15,乐涛儿童电玩,体育休闲服务,娱乐场所,游戏厅,广东省,深圳市,宝安区,113.84293,22.799647,,,,,
16,卓跃儿童运动馆(松岗天虹中心),体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,宝安区,113.850865,22.762594,,,,,
17,嘟比乐儿童乐园(松岗集信大厦店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.852293,22.765776,,,,,
18,亲贝贝儿童游乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.842495,22.718469,,,,,
19,乐陶陶儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.831833,22.681466,,,,,
20,儿童体能乐场,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.85152,22.604693,,,,,
21,好好玩儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,宝安区,113.853542,22.603723,,,,,
