,红树林博览园,科教文化服务,展览馆,展览馆.1,广东省,深圳市,宝安区,113.767362,22.726294
0,三品美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.787152,22.736239
1,特区建发展厅,科教文化服务,展览馆,展览馆,广东省,深圳市,宝安区,113.765461,22.734544
2,三品美术馆名家创研基地,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.786781,22.735317
3,二楼办公室会议室,科教文化服务,会展中心,会展中心,广东省,深圳市,宝安区,113.786094,22.739834
4,深圳国际会展中心南登陆大厅(建设中),科教文化服务,会展中心,会展中心,广东省,深圳市,宝安区,113.776896,22.697469
5,步涌图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.811954,22.749463
6,亿馨阳文化馆,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.80796,22.750381
7,宝安图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.807814,22.729026
8,青春文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.814392,22.712384
9,吴极美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.811439,22.676091
10,深圳国际会展城市展厅,科教文化服务,展览馆,展览馆,广东省,深圳市,宝安区,113.808592,22.67461
11,非洲文化博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.804338,22.676053
12,自助图书馆(047宝安机场服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.820844,22.644396
13,思飞航空科技馆,科教文化服务,科技馆,科技馆,广东省,深圳市,宝安区,113.816558,22.624277
14,深圳机场文体中心,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.827057,22.643721
15,城市街区自助图书馆(空港八道),科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.814029,22.623589
16,竟新美术,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.823202,22.653506
17,深圳智慧机场展厅,科教文化服务,展览馆,展览馆,广东省,深圳市,宝安区,113.814571,22.622126
18,自助图书馆(180深圳航空服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.827498,22.633064
19,展示区(深圳宝安国际机场T3航站楼),科教文化服务,会展中心,会展中心,广东省,深圳市,宝安区,113.814299,22.624988
20,亿馨阳文化馆,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.827322,22.68174
21,深圳市德聚仁合传媒科技有限公司,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.804396,22.66476
22,裕源盛茶禅文化艺术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.793511,22.679029
23,和平美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.792759,22.6959
24,福海街道图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.794058,22.688522
25,崖柏艺术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.825368,22.669434
26,塘下涌图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.842111,22.800392
27,燕川小学陈祥兴礼堂,科教文化服务,会展中心,会展中心,广东省,深圳市,宝安区,113.860723,22.798777
28,老人康乐中心,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.842387,22.80463
29,满京华·国际艺展中心,科教文化服务,会展中心,会展中心,广东省,深圳市,宝安区,113.836855,22.783502
30,沙井青少年宫,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.833229,22.725878
31,上南青少年宫,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.843412,22.719481
32,凤凰(深圳台协)阅读中心,科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.846148,22.684497
33,复兴科技,科教文化服务,科技馆,科技馆,广东省,深圳市,宝安区,113.842325,22.688804
34,凤凰艺展中心,科教文化服务,展览馆,展览馆,广东省,深圳市,宝安区,113.835797,22.689826
35,中国包协设备展览市场,科教文化服务,会展中心,会展中心,广东省,深圳市,宝安区,113.83275,22.697958
36,航城(簕杜鹃谷)阅读中心,科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.86029,22.649468
37,中国福利彩票,科教文化服务,科技馆,科技馆,广东省,深圳市,宝安区,113.859951,22.655436
38,森达少年宫,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.855202,22.607372
39,文化潮汕博览园,科教文化服务,展览馆,展览馆,广东省,深圳市,宝安区,113.86596,22.5757
40,宝安区结缘奇石博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.86309,22.568758
41,f518创展中心,科教文化服务,会展中心,会展中心,广东省,深圳市,宝安区,113.861902,22.565835
42,君华堂民藏精品博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.870835,22.562683
43,自助图书馆(097F518时尚创意园服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.862106,22.566188
44,字控艺术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.863,22.567414
45,宝安区碧海文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.853312,22.575412
46,深圳市当代名家文房四宝博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.865991,22.575712
47,湾区新技术新产品展示中心,科教文化服务,展览馆,展览馆,广东省,深圳市,宝安区,113.85353,22.575719
48,深圳市潮汕民俗博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.865697,22.575677
49,渔业社区生育文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.869945,22.567257
50,光明区图书馆(李松蓢社区服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.888035,22.804051
51,西田图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.900998,22.800442
52,光明区图书馆(书香亭GMS031),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.901076,22.800469
53,光明区公共文化艺术发展中心,科教文化服务,文化宫,文化宫,广东省,深圳市,光明区,113.903316,22.773794
54,光明区图书馆伯尼分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.887489,22.768729
55,光明区图书馆(书香亭GMS009),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.901077,22.76353
56,光明区图书馆(玉律社区服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.897435,22.716882
57,红星图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.906233,22.706779
58,远恒佳少年宫,科教文化服务,文化宫,文化宫,广东省,深圳市,光明区,113.908329,22.778497
59,铁岗社区青少年俱乐部,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.886807,22.600983
60,远恒佳西乡少年宫,科教文化服务,文化宫,文化宫,广东省,深圳市,宝安区,113.890743,22.589744
61,凤凰岗图书室,科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.880649,22.595763
62,深圳市宝强影视发展服务中心,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.875145,22.593484
63,玉石斋艺术品展览,科教文化服务,展览馆,展览馆,广东省,深圳市,宝安区,113.878884,22.593501
64,宝安区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,宝安区,113.882693,22.548704
65,宝安科技馆,科教文化服务,科技馆,科技馆,广东省,深圳市,宝安区,113.911418,22.558505
66,西乡会堂,科教文化服务,会展中心,会展中心,广东省,深圳市,宝安区,113.882866,22.581563
67,万科前海会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.902695,22.517655
68,前海国际会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.903629,22.518458
69,前海万科国际会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.902029,22.517796
70,前海展示厅,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.903706,22.515738
71,深圳南山图书馆·赤湾分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.889791,22.480149
72,博尔国防科普基地,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.906035,22.475354
73,深象孵化基地,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.906036,22.471429
74,自助图书馆(093南山区龙瑞佳园服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.903593,22.479981
75,青青书阁,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.90112,22.499269
76,南山区群英民间武术文化展览馆,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.911089,22.523526
77,光明区图书馆(新湖街道分馆),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.942535,22.799311
78,楼村社区三月风图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.920746,22.783593
79,自助图书馆(058楼村花园服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.923302,22.786203
80,光明区图书馆(书香亭GMS041),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.948345,22.790457
81,东周社区居委会文化室,科教文化服务,文化宫,文化宫,广东省,深圳市,光明区,113.938889,22.763497
82,光明区图书馆东周社区服务点,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.939138,22.763592
83,光明街道办事处图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.942843,22.761123
84,光明光明办事处图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.944506,22.763053
85,光明区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.937422,22.747072
86,光明区会展中心,科教文化服务,会展中心,会展中心,广东省,深圳市,光明区,113.94566,22.738302
87,长圳图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.916316,22.718173
88,长圳村文化活动中心,科教文化服务,文化宫,文化宫,广东省,深圳市,光明区,113.916142,22.718248
89,深圳(宝安)劳务工博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.932787,22.684725
90,河滨纹身,科教文化服务,美术馆,美术馆,广东省,深圳市,宝安区,113.934359,22.679331
91,南山图书馆百旺信分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.938138,22.630542
92,深圳无人机博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,宝安区,113.918174,22.64939
93,中国满绣博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.931472,22.5875
94,马家龙文化体育中心,科教文化服务,文化宫,文化宫,广东省,深圳市,南山区,113.928084,22.551691
95,深圳南山法律文化博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.931474,22.546942
96,科兴ECO国际会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.944162,22.548512
97,南山区青少年活动中心,科教文化服务,文化宫,文化宫,广东省,深圳市,南山区,113.919694,22.544652
98,南山图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.922459,22.534915
99,深圳三诺智慧生活创想馆,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.936935,22.522583
100,周书琴紫砂艺术馆,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.92951,22.517254
101,南山区青少年活动中心(滨海部),科教文化服务,文化宫,文化宫,广东省,深圳市,南山区,113.932087,22.51749
102,南山区商业文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,南山区,113.929592,22.518945
103,李瑞生软硬艺术创作室,科教文化服务,美术馆,美术馆,广东省,深圳市,南山区,113.930634,22.527494
104,新年酒店-会议厅,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.928442,22.52502
105,巨龙惊现恐龙化石展,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.933252,22.516258
106,南头古城博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.919952,22.540836
107,深圳市南山博物馆,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.923887,22.535024
108,自助图书馆(120海印长城二期服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.932064,22.519577
109,深圳湾ECO国际会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.94114,22.523323
110,招商局历史博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.913012,22.491287
111,蛇口青少年活动中心,科教文化服务,文化宫,文化宫,广东省,深圳市,南山区,113.925074,22.494675
112,光明天安云谷·国际会议中心(建设中),科教文化服务,会展中心,会展中心,广东省,深圳市,光明区,113.965554,22.790773
113,粮所,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.91653,22.483137
114,环球渔网世界经济渔类海洋馆,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.916562,22.487796
115,中国农科院番茄科技馆,科教文化服务,科技馆,科技馆,广东省,深圳市,光明区,113.969911,22.761291
116,深圳国家现代农业科技展示中心,科教文化服务,展览馆,展览馆,广东省,深圳市,光明区,113.968206,22.762992
117,光明区图书馆(书香亭GMS028),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.966527,22.764126
118,宝安区图书馆光明迳口分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.966857,22.764304
119,光明区图书馆(书香亭GMS040),科教文化服务,图书馆,图书馆,广东省,深圳市,光明区,113.956138,22.739762
120,EACHWAY百年时尚博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙华区,113.985854,22.701683
121,大浪·羊台山文化名人图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,113.985386,22.669524
122,麒麟山庄麒麟阁,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.972748,22.606378
123,深圳市科技图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.973127,22.590351
124,麒麟山庄会议厅,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.972361,22.606204
125,图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.965038,22.588483
126,深圳南山国际会议中心(集悦城),科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.985288,22.586894
127,龙光社区生育文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,南山区,113.975177,22.559515
128,刘怀庆艺术工作室,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.979692,22.557146
129,桃源村文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,南山区,113.979178,22.556733
130,PL家艺术空间,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.979926,22.551965
131,何香凝美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,南山区,113.981624,22.533223
132,深圳华夏艺术中心,科教文化服务,美术馆,美术馆,广东省,深圳市,南山区,113.985386,22.534387
133,华·美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,南山区,113.98299,22.533028
134,雅和斋艺术馆,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.96458,22.533821
135,画画帮陶艺手工创意(京基百纳广场南山店),科教文化服务,美术馆,美术馆,广东省,深圳市,南山区,113.969661,22.530841
136,埃及纸草画物品展,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.972007,22.532784
137,皆一堂百工艺术生活馆,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.989956,22.525813
138,雍轩棕榈泉艺术分馆,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.962943,22.532691
139,EPC艺术文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,南山区,113.986199,22.532546
140,33艺空间,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.972935,22.53565
141,华夏典藏,科教文化服务,美术馆,美术馆,广东省,深圳市,南山区,113.980774,22.533376
142,警队博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,南山区,113.952689,22.537889
143,南山区图书馆华侨城分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.982829,22.540132
144,中正艺术馆,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.953272,22.530905
