,科技馆(地铁站),交通设施服务,地铁站,地铁站.1,广东省,深圳市,宝安区,113.778501,22.71552,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,会议中心(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.770432,22.711557,,,,,
1,海上田园东(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.781248,22.731201,,,,,
2,会展北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.776983,22.701794,,,,,
3,重庆路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.779487,22.683933,,,,,
4,会展南(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.777943,22.69526,,,,,
5,和平(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.789475,22.688318,,,,,
6,后亭(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.826874,22.752625,,,,,
7,松岗(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.829631,22.772271,,,,,
8,马安山(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.817005,22.716998,,,,,
9,沙井(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.824434,22.730849,,,,,
10,塘尾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.817878,22.702075,,,,,
11,桥头(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.811001,22.688133,,,,,
12,福永(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.806076,22.673562,,,,,
13,永和(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.797424,22.683226,,,,,
14,怀德(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.818277,22.667561,,,,,
15,机场东(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.822634,22.647001,,,,,
16,机场北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.798179,22.651128,,,,,
17,机场(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.813663,22.624026,,,,,
18,翠岗工业园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.82149,22.657002,,,,,
19,机场东地铁站A口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.822754,22.646513,,,,,
20,机场地铁站B口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.813561,22.623166,,,,,
21,机场地铁站E口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.813598,22.6247,,,,,
22,机场地铁站C口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.814211,22.623402,,,,,
23,机场地铁站D口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.813901,22.624001,,,,,
24,机场地铁站A口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.813039,22.624443,,,,,
25,机场北地铁站C口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.798152,22.650827,,,,,
26,机场北地铁站A口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.797871,22.652077,,,,,
27,机场北地铁站B口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.798606,22.650714,,,,,
28,机场东地铁站C口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.822556,22.646875,,,,,
29,机场东地铁站D口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.82298,22.646599,,,,,
30,机场东地铁站B口,交通设施服务,地铁站,出入口,广东省,深圳市,宝安区,113.822704,22.647182,,,,,
31,松岗公园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.84831,22.77792,,,,,
32,溪头(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.83765,22.774648,,,,,
33,薯田埔(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.867694,22.780928,,,,,
34,钟屋(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.845044,22.63095,,,,,
35,黄田(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.834353,22.643139,,,,,
36,后瑞(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.835449,22.628835,,,,,
37,固戍(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.846792,22.601363,,,,,
38,桃源居(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.862324,22.610805,,,,,
39,洲石路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.85991,22.617842,,,,,
40,臣田北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.870905,22.60221,,,,,
41,碧海湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.856093,22.575073,,,,,
42,西乡(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.863048,22.575149,,,,,
43,坪洲(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.870711,22.568908,,,,,
44,公明北(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.899273,22.802013,,,,,
45,下村(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.89805,22.795049,,,,,
46,长春北路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.895728,22.788208,,,,,
47,公明南(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.902316,22.767043,,,,,
48,公明广场(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.891407,22.777428,,,,,
49,东周路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.90489,22.759131,,,,,
50,红花山(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.907292,22.777684,,,,,
51,合水口(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.880928,22.78161,,,,,
52,臣田(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.878628,22.594407,,,,,
53,宝安客运中心(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.883682,22.589374,,,,,
54,流塘(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.88919,22.583845,,,,,
