,铭阳启慧国际教育中心,科教文化服务,培训机构,培训机构.1,广东省,深圳市,宝安区,113.775689,22.732589
0,江湖舞林(沙井和一分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.784702,22.716657
1,扬名体育培训有限公司,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.784738,22.716645
2,7818纹绣培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.784631,22.728106
3,天韵琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.784256,22.71135
4,顺意汽车驾驶培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.785118,22.715639
5,辉龙培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.784724,22.716923
6,正弘教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.785783,22.715763
7,萌宝宝舞蹈,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.784598,22.713641
8,TY舞蹈,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.784247,22.711483
9,岗前培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.78814,22.724723
10,弘毅艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.786239,22.733416
11,艺心国际综合艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.785724,22.688114
12,女王舞蹈连锁(福永和平全国总部),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.7878,22.688063
13,全兴培训职校(和平分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.788174,22.688919
14,乐茶道培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.78999,22.735772
15,宝安区法制教育培训基地,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.788946,22.708263
16,深加速培训(沙井锦程分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.785877,22.739844
17,领航培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.786963,22.702625
18,笙艺音乐教育培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.787048,22.741511
19,好老师培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.788825,22.740917
20,慧星培训(兴裕路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810585,22.758887
21,慧通教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.809042,22.759244
22,美人源,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811294,22.75888
23,JS舞蹈(沙井新万众店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810281,22.758927
24,瑜晓少儿艺术,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810487,22.758721
25,育乐艺术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.808486,22.759959
26,瑜晓少儿艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810709,22.75855
27,蓝途数控培训学院,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810712,22.758547
28,平和飞悦健身培训学校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.808816,22.759314
29,美程美学艺术学院(步涌校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810256,22.758869
30,国际RS流行舞蹈步涌校区,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.81144,22.758207
31,JS舞蹈新万众校区(深圳运营总部),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810256,22.758869
32,品子学堂文化艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.806007,22.760363
33,转折·国际舞蹈培训机构(沙井校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.809075,22.759589
34,金贝壳艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.807884,22.724694
35,达闻培训(新沙路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.809525,22.732014
36,西觅亚机器人高手,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.806934,22.722217
37,超人英语(沙井星河店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.806966,22.722627
38,贝蕾舞蹈艺术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.806859,22.723067
39,多乐小熊日托早教(沙中路店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.807008,22.722439
40,国际RS流行舞蹈(沙井校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811518,22.726523
41,远航教育(第8分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811737,22.726503
42,萌奇乐乐国际早教中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811075,22.726563
43,创想麦田国际美术学校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811477,22.726729
44,大脑地图(福永店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.81203,22.678748
45,闯盟跨境电商学院,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811819,22.678654
46,森琴艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811302,22.678524
47,灵洪培训班,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810054,22.685247
48,博宇教育综合楼,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.813619,22.672129
