,智勇闯关,购物服务,家电电子卖场,家电电子卖场.1,广东省,深圳市,宝安区,113.768216,22.724106
0,新联河通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.781678,22.722253
1,中国移动5G,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.784774,22.717264
2,恒峰沙场,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.769788,22.681757
3,德顺沙场,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.768997,22.681171
4,金环宇电缆,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.780952,22.679553
5,e佳移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.784993,22.686539
6,众鑫五金电器,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.781936,22.683228
7,福兴发五金行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.780841,22.679536
8,中国移动5G,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.785095,22.687751
9,西门子(蚝业路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.785394,22.682314
10,鑫泰五金交电,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.781501,22.679693
11,三秦机电批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.811609,22.761795
12,博港数码,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.810407,22.759257
13,苏宁易购(海上田园分部),购物服务,家电电子卖场,苏宁,广东省,深圳市,宝安区,113.809776,22.753287
14,vivo中国电信,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.810287,22.75894
15,金环宇电缆,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.811762,22.761394
16,兴东铝,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.809396,22.761794
17,中国移动(联达专营店),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.802549,22.75723
18,华丰源塑胶批发部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.809798,22.763156
19,顺鹏华恒达授权店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.809844,22.758972
20,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.815597,22.720511
21,中国移动(新沙路服营厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.807497,22.72804
22,深圳市信维通信股份有限公司,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.798004,22.71686
23,兴平路26号自助洗衣机,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.809533,22.720582
24,东佳信电缆,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.811468,22.722971
25,永德五金总汇,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.809671,22.722635
26,中国电信(沙井营业厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.823063,22.729775
27,模具钢材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.811597,22.723067
28,宏发傢俬,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.807983,22.684635
29,福永国际家具村,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.829514,22.665981
30,苏宁易购(福洲大道店),购物服务,家电电子卖场,苏宁,广东省,深圳市,宝安区,113.804275,22.687065
31,红树湾国际家具建材中心,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.829967,22.663628
32,杰之冠音响器材,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.808636,22.680938
33,福永钢材批发市场,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.819504,22.697519
34,中国电信5G,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.810414,22.684508
35,冠德泰建材商行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.809537,22.68337
36,泰润邦建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.809333,22.683575
37,AI机器时代(机场T3店),购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.810069,22.629915
38,Brookstone,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.80956,22.631436
39,国瓷永丰源,购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,宝安区,113.810811,22.629828
