,金都汇,生活服务,洗浴推拿场所,洗浴推拿场所.1,广东省,深圳市,宝安区,113.784945,22.716002
0,中康养生坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.78568,22.717301
1,皇家沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.785728,22.718282
2,万氏正骨理疗养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.785561,22.71784
3,金玉汇休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.784876,22.715949
4,鑫玉馨休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.784873,22.717469
5,聚鑫港休闲都会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.786308,22.689022
6,福来足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.78469,22.688423
7,沐足理疗养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.785157,22.688268
8,贵足足浴堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.81144,22.758808
9,仕军理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.811356,22.758611
10,瑶厢阁康足坊(深圳总店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.809602,22.759422
11,西湖畔月休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.809442,22.757627
12,彩腾远足浴健康屋,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.80777,22.759722
13,玖兴休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.802432,22.745069
14,宝丰休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.809924,22.722615
15,海天会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.805655,22.723679
16,黄金海岸商务会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.826455,22.727069
17,鑫雨宝丰休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.809978,22.722578
18,金色榴莲足浴保健城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.80823,22.722637
19,嘉春养生按摩拔罐洗脚店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.808302,22.719822
20,悦晴男子养生SPA保健按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.80634,22.72371
21,经通天下能量经络养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.816073,22.719121
22,星雨阁会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.806786,22.7259
23,金桔子保健城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.801573,22.677268
24,大唐足道(福永店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.822242,22.670466
25,红敏沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.806864,22.684901
26,永康盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.806501,22.685871
27,鸿柏足道养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.810074,22.689078
28,华丽娱乐会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.811172,22.673383
29,福康源推拿足疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.82189,22.652163
30,景顺商务酒店-休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.822476,22.657769
31,月亮海休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.823727,22.651852
32,罗氏足艺堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.824914,22.650674
33,鑫足养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.823742,22.650541
34,杨州足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.82177,22.652538
35,沐足推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.823839,22.651754
36,浪漫时光足浴养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.824471,22.668304
37,御足堂(下十围分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.825316,22.650012
38,舒心足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.826298,22.649291
39,金拇指中医推拿艾灸养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.816275,22.658066
40,慈淼中医推拿(机场东下十围店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.824989,22.65037
41,金色桔园养生园,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.846218,22.802951
42,古法筋骨推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.858068,22.803019
43,安然纳米汗蒸养生馆(广田路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.858903,22.803553
44,周丽丽,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.844421,22.799589
45,足之道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.844497,22.799347
46,祥兴盲人推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.853646,22.762848
47,缤纷水疗会所(松岗店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.854296,22.761774
48,德舒堂影院式足道·SPA(松岗店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.853302,22.762405
49,富源情休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.847926,22.76714
50,威尼斯水疗会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.851831,22.764761
51,爱琴海休闲会所(东方大道),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.846657,22.762867
