步行最短距离（m）,步行最短时间（s）,公共服务设施名称,ID,距离分类,权重,纠正后权重
1259,1007,深圳宝安养老院,3,0.08,0.2,0.016
1259,1007,深圳市复亚护养院,3,0.08,0.2,0.016
1238,990,福镇围14号楼,8,0.08,0.2,0.016
1264,1011,福镇围C6栋,8,0.08,0.2,0.016
296,237,福镇围14号楼,9,1,0.2,0.2
322,258,福镇围C6栋,9,1,0.2,0.2
408,326,宠颐生动物医院-沙井分店,9,1,0.2,0.2
408,326,诺德动物医院(沙井旗舰店),9,1,0.2,0.2
937,750,新桥街道社区解毒康复服务中心,9,0.25,0.2,0.05
336,269,沙井老人服务中心,10,1,0.2,0.2
394,315,福海桥头老年人粤剧社,12,1,0.2,0.2
851,681,福永预防保健所,13,0.55,0.2,0.11
878,702,深圳市宝安区福永街道敬老院(东南门),14,0.25,0.2,0.05
899,719,福永敬老院应急避险场所,14,0.25,0.2,0.05
946,757,深圳市宝安区福永街道敬老院,14,0.25,0.2,0.05
1033,826,福永街道敬老院职康中心,14,0.25,0.2,0.05
1068,854,福永街道敬老院职康中心,15,0.25,0.2,0.05
981,785,深圳市宝安区福永街道敬老院,15,0.25,0.2,0.05
921,737,福永敬老院应急避险场所,15,0.25,0.2,0.05
950,760,深圳市宝安区福永街道敬老院(东南门),15,0.25,0.2,0.05
487,390,深圳市宝安区福永街道敬老院(东南门),16,0.9,0.2,0.18
480,384,福永敬老院应急避险场所,16,0.9,0.2,0.18
540,432,深圳市宝安区福永街道敬老院,16,0.9,0.2,0.18
627,502,福永街道敬老院职康中心,16,0.9,0.2,0.18
980,784,松岗颐年院,18,0.25,0.2,0.05
980,784,燕罗颐年院,18,0.25,0.2,0.05
997,798,悦年华颐养中心(深圳松岗),20,0.25,0.2,0.05
1261,1009,星光老年之家,21,0.08,0.2,0.016
19,15,星光老年之家,22,1,0.2,0.2
858,686,松岗预防保健所,22,0.55,0.2,0.11
1263,1010,松岗预防保健所,23,0.08,0.2,0.016
708,566,星光老年之家,23,0.55,0.2,0.11
1196,957,新桥街道社区解毒康复服务中心,25,0.08,0.2,0.016
1180,944,诺德动物医院(沙井旗舰店),25,0.08,0.2,0.016
1195,956,宠颐生动物医院-沙井分店,25,0.08,0.2,0.016
624,499,新桥街道社区解毒康复服务中心,26,0.9,0.2,0.18
979,783,福镇围C6栋,26,0.25,0.2,0.05
985,788,诺德动物医院(沙井旗舰店),26,0.25,0.2,0.05
1000,800,宠颐生动物医院-沙井分店,26,0.25,0.2,0.05
1040,832,福镇围14号楼,26,0.25,0.2,0.05
1061,849,福镇围C6栋,27,0.25,0.2,0.05
1028,822,新桥街道社区解毒康复服务中心,27,0.25,0.2,0.05
1122,898,福镇围14号楼,27,0.08,0.2,0.016
1258,1006,咏龙疗养院,27,0.08,0.2,0.016
1182,946,诺德动物医院(沙井旗舰店),27,0.08,0.2,0.016
1197,958,宠颐生动物医院-沙井分店,27,0.08,0.2,0.016
471,377,星光老年之家,30,0.9,0.2,0.18
674,539,深圳市宝安区社会福利中心养老部,32,0.55,0.2,0.11
855,684,启蒙星儿童康复服务中心,37,0.55,0.2,0.11
296,237,来休酒店,49,1,0.2,0.2
423,338,西乡敬老院(西北门),49,1,0.2,0.2
448,358,西乡敬老院,49,0.9,0.2,0.18
590,472,西乡敬老院宿舍B栋,49,0.9,0.2,0.18
554,443,西乡敬老院宿舍D栋,49,0.9,0.2,0.18
554,443,西乡敬老院宿舍C栋,49,0.9,0.2,0.18
1287,1030,深圳市任达爱心护理院(凤凰岗路),49,0.08,0.2,0.016
721,577,中脑好视力训练中心,50,0.55,0.2,0.11
918,734,贝能特殊儿童康复中心,51,0.25,0.2,0.05
1238,990,庆春特殊儿童康复中心,51,0.08,0.2,0.016
699,559,康琪儿童康复中心,52,0.55,0.2,0.11
915,732,慈爱康复中心,52,0.25,0.2,0.05
885,708,慈爱康复中心,53,0.25,0.2,0.05
779,623,康琪儿童康复中心,53,0.55,0.2,0.11
1064,851,庆春特殊儿童康复中心,54,0.25,0.2,0.05
1145,916,贝能特殊儿童康复中心,54,0.08,0.2,0.016
1070,856,光明护理院,57,0.25,0.2,0.05
904,723,石岩商会,64,0.25,0.2,0.05
93,74,石岩商会,67,1,0.2,0.2
1168,934,中医康复理疗,70,0.08,0.2,0.016
667,534,深圳市南山区养生保健院,72,0.55,0.2,0.11
1166,933,深圳市南山区心海特殊儿童康复中心,72,0.08,0.2,0.016
1107,886,奇晟堂康复中心,72,0.08,0.2,0.016
1099,879,医家人康复中心(金牛广场店),72,0.08,0.2,0.016
614,491,南山区蛇口长者颐养院,73,0.9,0.2,0.18
673,538,南山区蛇口长者颐养院,74,0.55,0.2,0.11
1211,969,招商观颐之家,74,0.08,0.2,0.016
779,623,南山区蛇口长者颐养院,75,0.55,0.2,0.11
1164,931,招商观颐之家,76,0.08,0.2,0.016
1003,802,南山区蛇口长者颐养院,77,0.25,0.2,0.05
984,787,招商观颐之家,77,0.25,0.2,0.05
928,742,沙河街道残疾人康复中心,87,0.25,0.2,0.05
526,421,沙河街道残疾人康复中心,88,0.9,0.2,0.18
204,163,沙河街道残疾人康复中心,89,1,0.2,0.2
252,202,沙河街道残疾人康复中心,90,1,0.2,0.2
726,581,深圳市龙华区紫飞语康复中心,96,0.55,0.2,0.11
