0,1,2,3,4
"113.78124,22.734616",沙井街道,"[65.96661453668062, 145.12748538961029]",153.63305760000000,11.3358022
"113.791347,22.713674",沙井街道,"[65.96661453668062, 145.12748538961029]",330.96981599999900,25.3746549
"113.822293,22.75981",沙井街道,"[65.96661453668062, 145.12748538961029]",296.53406399999700,22.6485509
"113.812641,22.751043",沙井街道,"[65.96661453668062, 145.12748538961029]",340.8718559999980,26.1585492
"113.802946,22.752249",沙井街道,"[65.96661453668062, 145.12748538961029]",469.83868799999700,36.3681999
"113.81647,22.773467",松岗街道,"[28.241543975929932, 176.6581906744378]",203.7929834999990,15.3067094
"113.80668,22.713089",沙井街道,"[65.96661453668062, 145.12748538961029]",290.713223999998,22.1877445
"113.820267,22.731339",沙井街道,"[65.96661453668062, 145.12748538961029]",689.7804384000110,53.7798739
"113.82529,22.725736",新桥街道,"[22.55361097749749, 201.33172322375418]",803.881388250022,62.812668
"113.809294,22.730446",沙井街道,"[65.96661453668062, 145.12748538961029]",980.3919743999990,76.7861168
"113.813962,22.715224",沙井街道,"[65.96661453668062, 145.12748538961029]",277.50044159999800,21.1417554
"113.804745,22.689514",福海街道,"[17.53017663168689, 201.0803489096574]",467.71196099999900,36.1998377
"113.82328,22.677292",福永街道,"[27.309080600315774, 174.86019004893947]",741.3854292500100,57.8651796
"113.818146,22.668433",福永街道,"[27.309080600315774, 174.86019004893947]",480.77510699999300,37.2339808
"113.805016,22.668225",福海街道,"[17.53017663168689, 201.0803489096574]",505.0647212499990,39.1568665
"113.81334,22.664784",福永街道,"[27.309080600315774, 174.86019004893947]",512.516573499999,39.7467918
"113.823691,22.65422",福永街道,"[27.309080600315774, 174.86019004893947]",414.4320612500030,31.981938
"113.843072,22.798053",燕罗街道,"[12.351436691658542, 225.30860248447198]",368.43028249999800,28.3402102
"113.845542,22.761666",松岗街道,"[28.241543975929932, 176.6581906744378]",754.9118285000230,58.9359961
"113.859467,22.767176",松岗街道,"[28.241543975929932, 176.6581906744378]",312.7677827499950,23.9336921
"113.840908,22.765109",松岗街道,"[28.241543975929932, 176.6581906744378]",932.6444025000030,73.0061834
"113.846472,22.77195",松岗街道,"[28.241543975929932, 176.6581906744378]",1129.5248677500100,88.5922124
"113.852422,22.773358",燕罗街道,"[12.351436691658542, 225.30860248447198]",389.32532349999500,29.9943647
"113.843991,22.712578",新桥街道,"[22.55361097749749, 201.33172322375418]",497.92007999999800,38.5912614
"113.835182,22.718401",新桥街道,"[22.55361097749749, 201.33172322375418]",1101.9261470000100,86.4073615
"113.835642,22.7267",新桥街道,"[22.55361097749749, 201.33172322375418]",591.5562600000130,46.0039634
"113.832444,22.730492",新桥街道,"[22.55361097749749, 201.33172322375418]",352.1603734999950,27.0522039
"113.867146,22.664257",航城街道,"[29.095625451858165, 150.2487527093596]",264.056157499999,20.0774396
"113.833101,22.6329",航城街道,"[29.095625451858165, 150.2487527093596]",376.79465249999900,29.002375
"113.864943,22.649851",航城街道,"[29.095625451858165, 150.2487527093596]",254.7075210000000,19.3373554
"113.84025,22.629991",航城街道,"[29.095625451858165, 150.2487527093596]",456.1740399999980,35.2864389
"113.86205,22.627892",航城街道,"[29.095625451858165, 150.2487527093596]",309.8688624999990,23.7041993
"113.839628,22.623158",航城街道,"[29.095625451858165, 150.2487527093596]",374.63966299999500,28.8317754
"113.842275,22.636306",航城街道,"[29.095625451858165, 150.2487527093596]",87.30288624999990,6.08477861
"113.845555,22.614615",航城街道,"[29.095625451858165, 150.2487527093596]",234.11743475000100,17.7073426
"113.862598,22.572179",西乡街道,"[44.707248465179795, 127.5612507759156]",791.463439500013,61.8296019
"113.869307,22.565863",西乡街道,"[44.707248465179795, 127.5612507759156]",743.9631497500080,58.0692446
"113.869754,22.57535",西乡街道,"[44.707248465179795, 127.5612507759156]",847.4604960000220,66.2626052
"113.86263,22.58095",西乡街道,"[44.707248465179795, 127.5612507759156]",808.8321422500090,63.2045941
"113.90054,22.800968",公明街道,"[21.506693641974824, 172.56680370370353]",351.77554749999900,27.0217392
"113.88815,22.804081",公明街道,"[21.506693641974824, 172.56680370370353]",267.11472999999900,20.3195712
"113.90144,22.793226",公明街道,"[21.506693641974824, 172.56680370370353]",171.92263999999900,12.7836958
"113.883965,22.788936",公明街道,"[21.506693641974824, 172.56680370370353]",554.3683865000070,43.0599878
"113.875795,22.797354",燕罗街道,"[12.351436691658542, 225.30860248447198]",256.92496350000100,19.5128991
"113.904132,22.750167",凤凰街道,"[7.7700120546068785, 311.0225024875623]",515.5552007500000,39.9873446
"113.875607,22.773162",马田街道,"[14.564066411583854, 228.1254301075269]",234.68591950000000,17.7523466
"113.880747,22.77774",马田街道,"[14.564066411583854, 228.1254301075269]",545.8303755000000,42.3840768
"113.892955,22.715884",玉塘街道,"[18.12598258782049, 232.61077303754277]",229.14610375000000,17.3137875
"113.886347,22.600617",西乡街道,"[44.707248465179795, 127.5612507759156]",177.1375557500000,13.1965342
"113.891428,22.587795",西乡街道,"[44.707248465179795, 127.5612507759156]",444.1325239999940,34.3331731
"113.890628,22.570127",新安街道,"[110.13793549489472, 82.26357775530788]",1037.4630150000200,81.3041419
"113.898093,22.555216",新安街道,"[110.13793549489472, 82.26357775530788]",745.6116460000170,58.1997477
"113.904301,22.562499",新安街道,"[110.13793549489472, 82.26357775530788]",1273.626392999980,100
"113.88962,22.55932",新安街道,"[110.13793549489472, 82.26357775530788]",876.3927690000220,68.5530266
"113.890047,22.480007",招商街道,"[49.03225399513114, 109.88702284408906]",49.86718625000000,3.12118392
"113.947405,22.789897",新湖街道,"[11.717476007432639, 214.41608966861574]",260.19932375000000,19.7721136
"113.94787,22.75949",光明街道,"[13.09659558490399, 207.06193439716301]",456.50209874999800,35.3124097
"113.917607,22.752457",凤凰街道,"[7.7700120546068785, 311.0225024875623]",147.1386362500000,10.8216718
"113.925838,22.78044",新湖街道,"[11.717476007432639, 214.41608966861574]",324.9351072499980,24.8969176
"113.920912,22.729463",凤凰街道,"[7.7700120546068785, 311.0225024875623]",138.29458750000000,10.1215332
