,九围社区活动中心,体育休闲服务,休闲场所,休闲场所.1,广东省,深圳市,宝安区,113.863326,22.645955
0,新安社会服务中心社区文体活动中心,体育休闲服务,休闲场所,休闲场所,广东省,深圳市,宝安区,113.87119,22.554248
1,港湾社区活动中心,体育休闲服务,娱乐场所,娱乐场所,广东省,深圳市,南山区,113.886311,22.480929
2,甲子塘社区公园足球场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,光明区,113.92005,22.733822
3,蛇口街道雷岭社区多功能活动室,体育休闲服务,休闲场所,休闲场所,广东省,深圳市,南山区,113.929251,22.493848
4,赤尾社区文化活动室,体育休闲服务,娱乐场所,娱乐场所,广东省,深圳市,福田区,114.08578,22.531998
5,中共罗湖区东门街道工作委员会花场社区党员活动室,体育休闲服务,娱乐场所,娱乐场所,广东省,深圳市,罗湖区,114.123035,22.555326
6,M+社区,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,龙岗区,114.260564,22.717569
7,东和社区服务站棋牌室,体育休闲服务,娱乐场所,棋牌室,广东省,深圳市,盐田区,114.23365,22.549644
8,田头社区党群活动中心(金田路),体育休闲服务,休闲场所,休闲场所,广东省,深圳市,坪山区,114.405544,22.692696
9,王母社区上下圩门文娱活动室,体育休闲服务,休闲场所,休闲场所,广东省,深圳市,龙岗区,114.47788,22.594913
