,星光老年之家(福利彩票资助),体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,宝安区,113.813258,22.666079
0,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,宝安区,113.863272,22.645972
1,福中福社区星光老年之家,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,宝安区,113.853639,22.567553
2,任达爱心护理院A区老年公寓,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,宝安区,113.90601,22.668814
3,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,光明区,113.962544,22.806252
4,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,宝安区,113.96128,22.682787
5,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,南山区,113.979801,22.622571
6,观澜社区星光老年之家,体育休闲服务,休闲场所,休闲场所,广东省,深圳市,龙华区,114.054201,22.72056
7,星光老年之家,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,龙岗区,114.199024,22.643974
8,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,龙岗区,114.221142,22.630516
9,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,龙岗区,114.2354,22.645617
10,田心社区星光老年之家,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,盐田区,114.233812,22.544752
11,深圳市杏健老年护理院深圳分院,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,龙岗区,114.332112,22.768249
12,坪山社区星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,坪山区,114.350061,22.687873
13,星光老年之家,体育休闲服务,度假疗养场所,疗养院,广东省,深圳市,龙岗区,114.435637,22.628953
