,吴仕娣诊所,医疗保健服务,诊所,诊所.1,广东省,深圳市,宝安区,113.783681,22.724646,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,深圳安好诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.783914,22.724542,,,,,
1,深圳成强诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.784775,22.72819,,,,,
2,唐光富西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.785222,22.716493,,,,,
3,深圳利平诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.787078,22.724791,,,,,
4,深圳岳恩富中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.786947,22.724799,,,,,
5,五味国医堂,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.786898,22.711043,,,,,
6,深圳鸿德昌诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.789656,22.715034,,,,,
7,深圳和仁诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.790645,22.715846,,,,,
8,深圳鸿健西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.787776,22.710791,,,,,
9,深圳叶世洪西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.784613,22.681965,,,,,
10,赵国鳌中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.786315,22.694504,,,,,
11,刘劲松西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.788417,22.692622,,,,,
12,豫德佳诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.788551,22.692459,,,,,
13,美顺工业园广雅医务室,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.784696,22.682067,,,,,
14,深圳汇民诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.788193,22.735699,,,,,
15,深圳安顺诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.788621,22.736288,,,,,
16,高华诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.785044,22.739771,,,,,
17,鹏洲综合门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.787111,22.704113,,,,,
18,鹏洲综合门诊部妇科,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.787064,22.704096,,,,,
19,深圳唐祯中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.78482,22.740309,,,,,
20,鹏洲综合门诊部门诊大楼,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.787169,22.70419,,,,,
21,社康中心,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.799504,22.758606,,,,,
22,深圳潘镇国诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.811053,22.759805,,,,,
23,深圳文惠诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.814221,22.758048,,,,,
24,深圳罗烈福诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.810767,22.756398,,,,,
