,百世快递(沙井分部),生活服务,物流速递,物流速递.1,广东省,深圳市,宝安区,113.782577,22.722213
0,圆通速递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782566,22.726899
1,互航国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782881,22.717049
2,中国移动光纤宽带报装点,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.783884,22.727541
3,中通快递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.783878,22.724042
4,菜鸟驿站(深圳沙井田沁苑1002号店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.78212,22.72154
5,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.785003,22.718077
6,收货部,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.784608,22.714804
7,菜鸟驿站(深圳三间仔街53号103店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.78271,22.72697
8,菜鸟驿站(深圳沙一村万锦小区15栋店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.78396,22.72397
9,菜鸟驿站(三间仔快递店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.784551,22.72854
10,中国移动社区服务站,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.784349,22.734865
11,东汇运通,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.779744,22.678437
12,嗖嗖物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781805,22.681608
13,百世快运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.780232,22.688126
14,深圳市圣睿跨境电商物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.779609,22.678896
15,华宸通达国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781001,22.679067
16,昶颉物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782208,22.684106
17,百世物流深圳运转中心,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781091,22.687455
18,深圳市发时特国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.780486,22.678033
19,百世快递(福园二路店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781456,22.688275
20,台湾专线,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781882,22.675712
21,天图通逊(福永仓),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.783809,22.681598
22,诚远国际速递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781918,22.675688
23,深圳市辰诺达物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782344,22.684466
24,靓靓邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,宝安区,113.782486,22.689347
25,卡明速运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.783533,22.675441
26,中国电信(福永高新区营业厅店),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.787253,22.688172
27,百世快递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782321,22.675644
28,训河邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,宝安区,113.784175,22.676166
29,振韵国际,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781236,22.677243
30,深圳市润成通国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781907,22.68153
31,深圳市环行国际货运代理有限公司宝安分公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.780289,22.677906
32,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.784589,22.682416
33,东荣物流福永仓库,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.779976,22.678074
34,深圳市成兴旺货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781367,22.676851
35,深圳市有为国际供应链管理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781898,22.684132
36,洛菲纳国际货运代理有限公,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782875,22.677195
37,福鑫国际快递(福海分公司),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782598,22.676566
38,菜鸟驿站(深圳福海新福工业园A2宿舍店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.7822,22.68195
39,众邮快递(深圳宝安福永桥头公司),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781398,22.676462
40,深圳市华锦国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.783484,22.684053
41,深圳市钦隆国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782078,22.675648
42,信丰物流网福永分公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.782632,22.685018
43,百易物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.784136,22.687892
44,深圳市非凡超越物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.783986,22.683748
45,深圳振韵国际货运代理有限公司(天瑞仓),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.781443,22.676837
46,台泥水泥(深圳)配送中心,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.769731,22.669102
47,菜鸟驿站(新冲路),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811396,22.760509
48,永捷物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.814312,22.760761
49,韵达快递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811247,22.758886
50,步涌兴隆路菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.810102,22.759115
51,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.810962,22.757055
