,海上田园欢乐天地餐厅,餐饮服务,中餐厅,中餐厅.1,广东省,深圳市,宝安区,113.768269,22.724912
0,泮湖酒楼,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.773249,22.72624
1,明月楼(船居1-5号别墅东),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.771381,22.725826
2,成都鱼当家(沙井和一店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.782486,22.722215
3,烧烤佬炭烧生蚝田螺,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.780226,22.722313
4,重庆霸道烤活鱼石锅鱼烧烤(和二分店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.765559,22.721089
5,何记城市快餐,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.780796,22.721983
6,咸骨粥爽滑饺子王(宝安新联河店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.780254,22.722382
7,沙县小吃,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.780626,22.721879
8,昇腾四川菜馆,餐饮服务,中餐厅,四川菜(川菜),广东省,深圳市,宝安区,113.781544,22.72226
9,潮汕卤水皇,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.780648,22.721878
10,岳阳楼菜馆,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.78088,22.721933
11,粤西老刘快餐店,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.78195,22.721809
12,沙县小吃万锦1栋店,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.78219,22.721853
13,荟展轩宴请宴会中心,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.784261,22.72169
14,一面之缘,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.783985,22.724292
15,沙县美食,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.781318,22.72634
16,泰盛丰顺快餐,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.782003,22.721807
17,洞庭厨娘,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.784545,22.71408
18,湘岳蒸菜馆,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.780739,22.722351
19,饶记·仙庙烧鸡(沙井店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.786128,22.732136
20,常德牛肉粉,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.784866,22.72616
21,川湘麻辣烫,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.781964,22.726269
22,缘之味烧烤店,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.78179,22.726272
23,湘缘木桶饭,餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.782533,22.722213
24,野人烧烤,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.787518,22.70504
25,纸上烤鱼烧烤鸡煲牛杂小龙虾,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.782452,22.721841
26,雄霸川菜酒楼,餐饮服务,中餐厅,四川菜(川菜),广东省,深圳市,宝安区,113.787269,22.705116
27,炒粉麻辣烫汤粉,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.780841,22.721816
28,老成都柴火鸡,餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.784213,22.725037
29,李记潮汕砂锅粥,餐饮服务,中餐厅,潮州菜,广东省,深圳市,宝安区,113.790889,22.712517
30,新联河粥粉店,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.781325,22.72227
31,邵阳人家,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.783951,22.71593
32,味你而来(沙井店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.783944,22.716321
33,聚味香湖北菜,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.788926,22.710059
34,丰顺汤粉店,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.782289,22.721797
35,翠香亭(沙一分店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.789848,22.724565
36,和一精品夜市,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.784634,22.71618
37,艾莱克汉堡店(沙井和一店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.784807,22.71548
38,兰州拉面,餐饮服务,中餐厅,清真菜馆,广东省,深圳市,宝安区,113.781631,22.721855
39,湘村人家木桶饭,餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.780541,22.679387
40,许先生粉店,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.780723,22.679478
41,川豫湘厨自助餐厅,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.781864,22.676203
42,财记黄油蟹专卖店,餐饮服务,中餐厅,海鲜酒楼,广东省,深圳市,宝安区,113.78038,22.674076
43,一招仙咸骨粥爽滑饺子王,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.784667,22.682588
44,川湘味浓,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.781521,22.679698
45,经济快餐,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.781982,22.683389
46,海阔天空,餐饮服务,外国餐厅,其它亚洲菜,广东省,深圳市,宝安区,113.782218,22.681867
47,深圳国际会展中心皇冠假日酒店自助餐吧,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.777715,22.686833
48,妙聚友城市快餐,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.782107,22.683433
49,新福饭堂早餐粉,餐饮服务,中餐厅,四川菜(川菜),广东省,深圳市,宝安区,113.782413,22.681872
50,川人川菜,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.780338,22.679288
51,骨香麻辣烫,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.782578,22.683204
52,潮汕饭店澄海卤鹅特色小炒,餐饮服务,中餐厅,广东菜(粤菜),广东省,深圳市,宝安区,113.782387,22.688574
53,潮汕轩小厨,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.780524,22.679379
54,重庆美食城,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.780402,22.679281
55,野菜饭,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.78259,22.688621
56,小纪姐桂柳螺蛳粉,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.780929,22.67958
